upstreamdiscount_H
[ 4  0 17  0  0]
[ 6.  4. 18.  3.  0.]
[10. 10. 19. 19.  0.]
[ 0.  0.  4. 19.  0.]
[ 7  0 19  0  0]
[19.  0.  0.  0.  0.]
[0. 4. 0. 4. 0.]
[ 0  6 20  0  0]
[19. 19.  0.  0.  7.]
[18.  3.  1.  0.  2.]
[6. 0. 0. 0. 3.]
[6. 6. 0. 6. 0.]
[7. 0. 0. 0. 0.]
[19.  3.  0.  1.  0.]
[ 7.  5.  0. 19.  0.]
[ 2. 18.  2. 18.  2.]
[6. 5. 0. 0. 0.]
[2. 0. 4. 2. 0.]
[7. 0. 0. 0. 0.]
[6. 0. 0. 0. 0.]
[19.  4.  0.  0.  0.]
[ 6 19 19  0  2]
[0. 3. 0. 2. 0.]
[ 6.  0. 18. 19.  0.]
[0. 4. 0. 4. 0.]
[ 9  9 13  0  0]
[ 5. 12.  5.  0.  0.]
[ 7.  0. 19.  0.  0.]
[ 2.  0. 18.  4.  0.]
[6. 0. 0. 6. 0.]
