benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[11 16  3 17  6 20  4  8  7 10  5 12 18  1 13  9 15  2 14 19],[ 7 17 12  4 13 14 15  9  3 20 18  2 10 16  8  5  1 19  6 11],[10 13  7  8 12 16 15 14 19  5  2  9 11 17 18  1  6  4 20  3],[15 13 20  6 14 19 11  4  2  7  5 18 17  9  1  3 10 16 12  8],[ 6 20 16 19  1  9  4 11  5 18 14 17 12  2  3 15  7 13 10  8],[ 6  3  5  9 16  2 17 18 13  1 19 12 11 10 20  7 15  4 14  8],[ 7 11 17  6 10 15  3 13  5 18  2 12  4  8  9 20  1 16 14 19],[11 13  2 20  4  9  8  1  6 15 16 14  5 10 19  3 12 18 17  7],[14  3 18  9  5 11 10  7 15 20 19  8  6  1 17  2 13 16 12  4],[ 9 17 18  4  5  1 15  7  6 20 14 10  3 13 16 11 12  2  8 19],[ 9 13  4  1  2  8 17  7 19 15 10 11  6 18  5 16 20  3 14 12]
[14  1 11 18  2 13  7 15  5  4  9 20 16 12 19 17  8  3  6 10],[ 3  4 11  7  9 20 10 12  2 18 16  6 14 19  5 15  1  8 13 17],[16  9  3  6 15 11 10 14  5 19 20 18  8 17 12 13  2  7  4  1],[15 14 17 18  8  7  6 20 13  1  9 10 16 11 12  3  5  4 19  2],[15 20 11  4  2  5  8 14  6 10 18 13  7 17 16  3  9  1 12 19],[ 2 20  5 18  8  6 17 19  4 13 10 11  9  1  3 14 15 12 16  7],[20  3  8 10 16 14  9  2 19  1  6  4  7 11 15 18 13 12 17  5],[11  9 13  5 16 20 18 17 14 10  4  6 19  1  7  2 12 15  3  8],[16  6 19  8 20 18 12  4  9  5 14  1 13  2 10 17  3 15 11  7],[ 8 14  2 11  9 18 20 10 15 17 19  3 12 16  1  4  6  7 13  5],[ 7  8 14 18 11  3 16 15  4  9  1  2 19 12  6 10  5 13 20 17]
[ 7  6 14  5  3 12 20 16 17  1 15  2  9 10  4 13 18 19  8 11],[10 14  9  1  5  6  2  4 16 11 19 18  8  3 15 20 13 12  7 17],[19 11  2  6 15 18 12  3 20  4 13 16 14  8  5  7 10  9  1 17],[ 4  8 11  6  9  5 17 10 16  2  1 14 15 18 13  7  3 20 19 12],[ 9 14 20  4 11 15  8 17 10 12  2  1  5  3 19 18  7 16  6 13],[ 7 11 12  2  9 15 18 13 10  8 16 17  5 20 14  3  1  4 19  6],[10 14 19  1 16  9 15  3 20  2 11  5  7  6 12 13 18 17  8  4],[ 4 20 11 19  2  5  8 13 14 12  1  6  7 15 10  3 17  9 16 18],[15  1 17  4 13 14  8 12 18 11 20 19  2  6  5 10  7  9 16  3],[13 14  7  8  1 18  3 11  6  5  4 19 16 15 17 12 20  2  9 10],[ 3  7 14 11 13  9  8  2  4  6 15 16  5 17  1 10 12 18 19 20]
[14 16  7 20 19  3 18 17  4 11 15  8 13  5  6  2  1 10  9 12],[ 4 11 13  9  6 19 10  8 15  3  1 20 14 12 17 18  5 16  2  7],[10 13  4 11  3 19 17 16  6  2 14 12 20 18  9  8  5  1  7 15],[11  5 12  4 18  8 20 15 17 14 19  9  7  6  1 16 10  3  2 13],[14  4 19  3 16 13 12 18  1 15  5 10  7  8  9 17  2 11 20  6],[11  8 10 13 15 14 16 20  4  7  9  1  2  6 17  5  3 12 19 18],[ 9  2 10  1 12 18 20 11  7 15  5  8  4 16 14  6 19  3 13 17],[ 7 15 17 12 18 13 10 20 11  1  5  4 19 14 16  8  9  6  3  2],[ 7  4  2  9  6 17 11 18  3 16 13 19 14  1 15 10 12 20  8  5],[ 3 16 20 14 13 10 17  4  2 12  5  8  1  9 19 11  6 18  7 15],[10 11 18 14  4  6  8  5 13  1  3 15  7  9 12 19 20  2 17 16]
[ 9  1 11 14 10 12  7 16  5 19  2 15 13  3 20  6  8 18  4 17],[ 2 12 14  6 16  8 18  7 15 17 13  9 20  5 11  3 10  1 19  4],[ 4 14  9  7  6 12 11 19  2 16  8 17 20 15  3  1  5 13 10 18],[ 7  9  3  6 11 13 17 15 12  5 16 20  4 10  2  8 18  1 19 14],[15 10  7  8  9 16 13 12  2 11 19 17 20 14  4 18  3  6  5  1],[18 11  4  8  5 20  3  6  7 16 17 14  2 12  9 19 13  1 10 15],[ 7 18 16  5  1  2 19  4 17 20 10 15  3 14 12  9  8 11  6 13],[ 8  3  2 12  9 16  7 15 13  5 11 10 17 18 19 20 14  1  6  4],[ 3  5 16  8 10 11 18  4 12 14  7 17  9  6 20  2 19 15  1 13],[17  8 14 11  9  7  4  5 20  1 16 12  6  3 10  2 18 13 15 19],[19  3 10  1  9 11  4 13 15  6 12  7  8 18  2 17 14  5 16 20]
[ 7 17 12  5 16 19  8  6  3 13 14 20  4  2  1 18  9 10 11 15],[12 18  9  4 16 10  3  7 19 20 11 17 13  2 15  5  1  8  6 14],[ 5 13 11  8  1  7 20 10 17  2 12 19  3 18 16  4  6  9 14 15],[12 11  2  6 18  9 16 14  8 13  7 17 20 15 10  1  5  3 19  4],[ 8 19 18 20 11 17  9 14 16  3  7  4 12  6  1 13  2 10 15  5],[14  5  4 13 16  8 12 15 17  6 11 19  1  7 18  2 10  3  9 20],[13  8 10  1  3  4  5 14 19  2 11 16 17  7 18 20 15  6  9 12],[ 5 11 15 19 17  7 16 14 12  1 13  2 10  4 18 20  8  6  3  9],[14  6 10 20 16 13  8  4 18  2  3 12 11  9 19 15  1 17  7  5],[ 8 14 15 17 16 13 12  3 20  7 19 18  5  6  2  9 11  4 10  1],[ 6  4 11 15  2 20 10 12  9  8  7 14  1 17 18 19  3  5 13 16]
[11  3 17  4  8 13 10  2 18  6 16 14  9 19 15  5  7 20  1 12],[ 4 10 15  1 16  7 13 19  8 17  6  3  2  5  9 20 14 18 11 12],[ 3 12 16  2 10 19  4  7 20 17  5 13 11 14  6  8 15  1  9 18],[ 7 11 10  9  5 19 20 17 18  2 12  1 14 16  4  3 13 15  6  8],[19  5  4 15 18  7 11 20  1  9 17 16 13 14  6  2 10  8  3 12],[12 13 17  6  8 16  4 11 20  7  9 18  5 14 19  3 10  1 15  2],[12 17 15 20  5  6  4 19 11 14 13  2  1 10  7 18  9 16  8  3],[20 13  9  7  3  8 17 14 15 12  5 18 11  4 16 19  6  1  2 10],[15  8  9  7  1 11 18  4 19 10 17  6 12  2 14 16 20  5  3 13],[ 1  9  5 10  4 11 20 13 19  2  7  8 15  3 12 18 16 14  6 17],[ 9  1 17  7 10 19 20 18 13  5  8  2  6  4 14 16  3 11 15 12]
[19 15  9 14  7  8 13 10  1  2 12  5 16 17 11  6 18  3  4 20],[ 3 14  1 19  6 11 17 18  7  8  5 20  2 15 13 16 12 10  9  4],[ 9  1  6  7 19 18  5 10 14 20 16  3 12  2  8  4 17 11 15 13],[16 17  7  2 15 12 14 20  3  5  6 13 19  9 10 11  8 18  4  1],[16  7 10  2 11  4 12  5 20  1  3  9 14 19 18 15 17  6 13  8],[20  8 14  7  9 17 13 15  4  5  6 18  1 10 16  3 12  2 11 19],[10  7 19 18  9  2  3 15  8  5  1 16 13  4 20 17 12 11  6 14],[ 3  1 11 10 19  7 13 15 18  4  5 14 20 16  8  2 12  6 17  9],[14  3 18 17 16  9  2 15  8  6 20  1  7 19 11 12  5 13 10  4],[16 11 13 10  2 17 19  1  5  6  3  9 15  4 20 12 18 14  8  7],[17 13 18  9 11  3 14  6  4 20 19  7  5  1 16 15 12  8  2 10]
[10  4 19 18  5  2 14 20  9  6  1 12 13  8 15  7 11 16  3 17],[11  9  3 19  4 12  2 17 20 18 13  7 14 16  1  6  5  8 10 15],[ 4  7  8 13 11  3 20 15 14  6 12  2  9 17  1 18 10 19 16  5],[ 3  8 13 11  5 17  9  1  6 10 12  2 19 16  4 18 20  7 14 15],[ 3  6 14  5  7 13 11 19 17  4  2 15 18 10 12 20  1  8  9 16],[19  9  6 13  5 15 11 16  3  1 18  8  7 17 10 14 20  4 12  2],[13 14 20  9  7  1  4  2 11  6 18 10  3 15  5 19 16 12 17  8],[18  8  1 14 16  4 17  6  2 15  7  3 13  9  5 10 19 20 11 12],[ 6 19  5  9 17 16  8  3  1 14 12  2 18  7 10 15 20 11 13  4],[ 8  7 20 11 15 12  9 19  5 14  6 13  1 10  4  3 17 18  2 16],[20  2  6 15 12 19  8 13 18 10 16  3  4  5  7 14 11  1 17  9]
[19  8 18  3  1 14  4 20 12 15  7 17 16  5  2  6 11 13  9 10],[13  6 19 20  1  2 14  4  9 16  5  7 15  3 11 17 10 12 18  8],[ 4  1 16  7  8 10  2 14 12 17 19 18 11  3  5  9 15 20 13  6],[18  9 17 10 16  4  7 11 20 12  3 19 15  8  1  2  6 14  5 13],[15 18 13  3  8  5  1 10  2  9 19 11  6  7 20 14  4 17 16 12],[12  3  1  9 13  6  4  2  5 17  8 15 20 14 16  7 18 10 19 11],[12 18  1  2  7  5  3 10 11  8  6 20 15 14  9  4 19 13 16 17],[ 7 16  6  5 12  4  9 14  2 20 11 13 18 15  8 10 19 17  1  3],[ 1  7 14  5 17 20  2  3  4 15 11  9 12  8  6 13 16 19 10 18],[11 20 13 14  3 12  4 10  2 16 15  5 17 18  7  9  8 19  6  1],[10 20 16 13  1 17 14 19 18 12  3  7  8  4 11 15  9  6  2  5]
