upstreamdiscount_H
[0. 0. 0. 0. 0.]
[17. 17. 14. 11. 18.]
[ 7. 14. 13. 16. 16.]
[13. 15. 10. 18. 13.]
[14. 16. 18.  8.  5.]
[15. 10. 15.  5.  6.]
[8. 8. 6. 8. 8.]
[12.  8.  3.  5.  1.]
[ 6. 13.  6.  1. 16.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[10.  9.  4.  7.  1.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[17. 11.  8.  6.  3.]
[0. 0. 0. 0. 0.]
[19. 18.  5.  1.  1.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[ 4. 15. 10.  8.  3.]
[ 8. 19.  5.  2.  9.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[ 5.  9. 15.  6. 14.]
[0. 0. 0. 0. 0.]
[14. 12.  8. 13.  5.]
[15. 12. 18. 15. 16.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[15.  7. 17.  8. 18.]
