upstreamdiscount_L
[0. 0. 0. 0. 0.]
[17. 18.  5.  5. 17.]
[ 7.  5. 15.  6. 11.]
[ 3. 13. 10. 19.  9.]
[11. 10. 14.  0.  6.]
[17. 17.  9.  9.  3.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[12.  3.  6.  3. 17.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[ 5. 10. 15.  5.  0.]
[ 6.  6.  4. 17.  6.]
[10. 19.  8.  6.  2.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[ 4. 14. 17.  6.  4.]
[12.  8.  6.  7. 18.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[10. 10.  2. 14.  5.]
[0. 0. 0. 0. 0.]
[ 5. 10. 12.  9.  2.]
[17.  7. 14.  8.  8.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[ 3.  6. 13. 13.  0.]
