upstreamdiscount_H
[ 6.  0. 14.  0.  0.]
[9. 4. 4. 4. 0.]
[ 9 10 19 19  0]
[ 0.  0.  4. 19.  0.]
[ 5.  0. 19.  0.  0.]
[19.  0.  0.  0.  0.]
[0. 4. 0. 4. 0.]
[ 0  9 16  0  0]
[19. 19.  0.  0.  7.]
[18.  5.  0.  1.  0.]
[6. 0. 0. 0. 3.]
[6. 6. 0. 6. 0.]
[6. 0. 0. 0. 0.]
[4. 4. 0. 3. 0.]
[ 7.  5.  0. 19.  0.]
[ 1. 19. 19. 18.  1.]
[6. 5. 0. 0. 0.]
[2 0 9 4 0]
[7. 0. 0. 0. 0.]
[6. 0. 0. 0. 0.]
[19.  4.  0.  0.  0.]
[ 6 19 19  0  0]
[0 3 0 3 0]
[11  0 19 19  0]
[0. 3. 0. 3. 0.]
[ 9 11  9  0  0]
[ 5. 12.  5.  0.  0.]
[ 7.  0. 19.  0.  0.]
[ 2.  0. 19.  4.  0.]
[6. 0. 0. 6. 0.]
