,final objective value,first objective value,final shared job order,final schedule,time,,gurobi,Gap
0,495.374724,750.0851031,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 9, 2, 4, 'M'], [1, 10, 5, 3, 7, 6, 'M'], ['M', 1, 10, 5, 3, 4], [8, 9, 2, 7, 6, 'M']]",34.56974363,,217.43,0.561079745
1,504.4924517,678.9227672,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 8, 5, 3, 10, 'M'], [4, 7, 1, 2, 9, 'M'], [6, 7, 'M', 5, 2], [4, 'M', 8, 1, 3, 10, 9]]",34.88463616,,187,0.62933043
2,548.6678211,746.6257169,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 8, 1, 7, 2, 3, 'M'], [6, 9, 'M', 5, 10], [6, 8, 7, 2, 3, 'M'], ['M', 4, 9, 1, 5, 10]]",35.51978374,,319.22,0.418190775
3,507.2050016,666.7210041,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[2, 5, 4, 'M'], [3, 8, 1, 6, 'M', 7, 9, 10], [3, 8, 4, 7, 9, 'M'], [2, 5, 1, 6, 'M', 10]]",35.17579699,,279.91,0.448132414
4,423.3955685,692.075562,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[1, 10, 8, 3, 7, 'M'], [6, 2, 4, 9, 5, 'M'], [6, 2, 4, 9, 7, 'M'], [1, 10, 8, 'M', 3, 5]]",33.9493804,,258.71,0.388963846
5,450.2050453,575.9101995,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 2, 8, 9, 7, 6, 'M'], [10, 4, 3, 1, 'M'], ['M', 10, 2, 9, 7], [5, 'M', 4, 3, 1, 8, 6]]",35.00837493,,212.39,0.528237184
6,572.9016923,674.7581853,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[4, 6, 'M', 5, 3], [10, 'M', 9, 8, 7, 1, 2], ['M', 10, 9, 8, 7, 1, 2], [4, 6, 'M', 5, 3]]",36.54886317,,329.78,0.424368955
7,494.859031,679.3899323,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[10, 2, 7, 9, 'M', 5], [6, 8, 4, 1, 3, 'M'], [2, 8, 9, 4, 'M'], [10, 6, 7, 5, 1, 3, 'M']]",33.51954222,,244.25,0.506425093
8,409.1341345,539.4496632,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[5, 4, 8, 3, 6, 7, 'M'], [2, 9, 10, 1, 'M'], [2, 9, 'M', 3, 1, 7], [5, 4, 8, 10, 6, 'M']]",34.38993311,,177.99,0.564959301
9,499.262126,697.8708929,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[1, 4, 7, 5, 10, 'M'], [9, 6, 3, 2, 8, 'M'], [9, 4, 7, 5, 8, 'M'], [1, 6, 3, 2, 10, 'M']]",33.29386187,,275.78,0.447624833
10,523.0401788,568.8229168,"[1, 9, 6, 3, 5, 4, 8, 7, 10, 2]","[[6, 'M', 5, 8, 10, 2], [1, 9, 3, 4, 7, 'M'], [6, 4, 8, 10, 'M'], ['M', 1, 9, 3, 5, 7, 2]]",35.39455247,,305.77,0.41539864
11,501.5377568,629.7652071,"[7, 1, 8, 3, 10, 9, 4, 6, 2, 5]","[[8, 3, 10, 9, 5, 'M'], [7, 1, 4, 'M', 6, 2], ['M', 8, 3, 10, 9, 2], [7, 1, 'M', 4, 6, 5]]",37.40071583,,165.32,0.67037377
12,381.1154248,621.9028888,"[3, 1, 5, 7, 4, 8, 9, 6, 2, 10]","[[3, 1, 5, 9, 6, 2, 'M'], [7, 4, 8, 10, 'M'], [1, 9, 6, 2, 'M'], [3, 'M', 5, 7, 4, 8, 10]]",34.60484624,,231.47,0.392651189
13,472.3303768,726.9708058,"[9, 2, 4, 6, 1, 7, 10, 5, 8, 3]","[[4, 1, 10, 8, 'M'], [9, 2, 6, 7, 5, 3, 'M'], [9, 'M', 4, 6, 1, 10], [2, 'M', 7, 5, 8, 3]]",35.09474182,,280.26,0.406644134
14,437.6624463,561.2185887,"[9, 1, 4, 2, 10, 8, 7, 6, 3, 5]","[[9, 2, 10, 8, 6, 3, 'M'], [1, 4, 7, 5, 'M'], [2, 'M', 8, 7, 3], [9, 1, 4, 10, 6, 5, 'M']]",34.52035499,,200.03,0.542958274
15,570.3739616,758.7257783,"[8, 10, 3, 6, 7, 5, 1, 9, 4, 2]","[[8, 6, 7, 5, 4, 'M'], [10, 3, 1, 9, 2, 'M'], [8, 3, 7, 9, 2, 'M'], [10, 6, 5, 1, 4, 'M']]",33.44644284,,239.57,0.57997732
16,492.8111302,625.0700909,"[3, 6, 10, 1, 7, 9, 8, 5, 4, 2]","[[1, 9, 8, 4, 'M'], [3, 6, 10, 7, 'M', 5, 2], [6, 1, 9, 8, 5, 'M'], [3, 10, 7, 4, 2, 'M']]",34.7010963,,239.58,0.513850266
17,481.560471,614.2994194,"[8, 9, 7, 4, 1, 3, 2, 5, 10, 6]","[[8, 9, 'M', 4, 2, 5, 10], [7, 1, 3, 6, 'M'], ['M', 9, 4, 3], [8, 7, 1, 2, 5, 10, 6, 'M']]",36.67311549,,245,0.491237311
18,513.2619504,727.2143286,"[8, 1, 4, 10, 6, 7, 9, 2, 5, 3]","[[1, 4, 7, 2, 3, 'M'], [8, 10, 6, 9, 5, 'M'], ['M', 1, 10, 6, 9], ['M', 8, 4, 7, 2, 5, 3]]",34.67754984,,305.07,0.40562514
19,426.7195297,561.6741053,"[5, 4, 10, 3, 9, 7, 2, 1, 8, 6]","[[5, 3, 9, 2, 'M'], ['M', 4, 10, 7, 1, 8, 6], ['M', 10, 9, 7, 1], [5, 4, 3, 'M', 2, 8, 6]]",36.0262537,,147.71,0.653847575
20,425.4148467,594.3227613,"[2, 7, 4, 5, 9, 6, 3, 10, 1, 8]","[[7, 5, 9, 10, 8, 'M'], [2, 4, 6, 3, 1, 'M'], [2, 7, 9, 3, 8, 'M'], ['M', 4, 5, 6, 10, 1]]",35.31823826,,226.34,0.467954629
21,615.8503723,725.4144572,"[6, 7, 3, 2, 8, 4, 5, 9, 1, 10]","[[6, 3, 8, 9, 'M'], [7, 2, 4, 5, 1, 10, 'M'], [2, 8, 4, 1, 10, 'M'], [6, 7, 3, 5, 9, 'M']]",33.83553791,,322.75,0.475927897
22,466.4436881,683.8885144,"[6, 9, 8, 2, 3, 7, 1, 5, 4, 10]","[[6, 8, 2, 7, 1, 5, 'M'], [9, 3, 4, 10, 'M'], [9, 8, 2, 'M', 5, 4], [6, 'M', 3, 7, 1, 10]]",35.42702174,,207.31,0.555551923
23,555.5567849,690.0230186,"[1, 9, 6, 8, 3, 7, 2, 4, 5, 10]","[[8, 3, 2, 4, 10, 'M'], [1, 9, 6, 7, 5, 'M'], [1, 9, 8, 3, 4, 5, 'M'], [6, 7, 2, 'M', 10]]",34.4233582,,277.4,0.500681105
24,413.5320202,673.9569726,"[8, 1, 5, 2, 4, 10, 6, 9, 7, 3]","[[8, 2, 4, 9, 7, 'M'], [1, 5, 10, 6, 3, 'M'], ['M', 8, 2, 4, 6, 7, 3], [1, 5, 10, 9, 'M']]",34.6238625,,220.04,0.467900938
25,420.6730689,577.9107368,"[1, 2, 5, 3, 9, 8, 6, 10, 4, 7]","[[2, 3, 9, 6, 4, 7, 'M'], [1, 5, 8, 10, 'M'], ['M', 1, 2, 3, 9, 6, 4], [5, 8, 10, 'M', 7]]",34.70849609,,250.39,0.404787189
26,560.6246748,565.0533975,"[2, 5, 4, 3, 1, 9, 10, 6, 7, 8]","[[5, 1, 9, 6, 8, 'M'], [2, 4, 3, 10, 7, 'M'], ['M', 4, 3, 10, 6], [2, 5, 1, 9, 'M', 7, 8]]",35.48528743,,313.81,0.440249397
27,532.966501,638.9993785,"[7, 4, 6, 1, 9, 10, 3, 5, 8, 2]","[[7, 9, 5, 8, 2, 'M'], [4, 6, 1, 10, 3, 'M'], ['M', 6, 1, 3], [7, 4, 9, 10, 5, 8, 2, 'M']]",35.04318833,,203.22,0.618700238
28,586.1283148,689.7835911,"[1, 8, 7, 3, 2, 6, 10, 4, 9, 5]","[[1, 8, 3, 4, 5, 'M'], [7, 2, 6, 10, 9, 'M'], ['M', 8, 3, 10, 4, 9, 5], [1, 7, 'M', 2, 6]]",34.99194622,,244.97,0.582053974
29,443.567866,736.158739,"[6, 8, 9, 7, 4, 3, 1, 10, 2, 5]","[[6, 9, 4, 3, 10, 5, 'M'], [8, 7, 1, 'M', 2], ['M', 6, 9, 1, 10, 5], [8, 7, 4, 3, 2, 'M']]",34.81619859,,220.21,0.503548348
30,563.6128066,703.9405088,"[8, 3, 7, 10, 5, 1, 6, 4, 2, 9]","[[8, 10, 5, 4, 9, 'M'], [3, 7, 1, 6, 2, 'M'], [3, 10, 5, 6, 4, 'M'], [8, 7, 1, 2, 9, 'M']]",33.30610871,,227.26,0.596779922
31,476.6858291,628.8501325,"[6, 7, 4, 5, 2, 3, 1, 8, 9, 10]","[[7, 5, 2, 9, 10, 'M'], [6, 4, 3, 1, 8, 'M'], ['M', 7, 4, 5, 2, 8, 10], [6, 3, 1, 9, 'M']]",34.16418552,,269.21,0.43524648
32,567.2361755,689.388019,"[3, 8, 4, 9, 10, 2, 6, 7, 5, 1]","[[8, 9, 10, 'M', 1], [3, 4, 'M', 2, 6, 7, 5], [8, 4, 2, 7, 'M'], [3, 9, 10, 6, 'M', 5, 1]]",35.39759207,,232.8,0.58958894
33,420.3700892,558.6808887,"[8, 9, 4, 7, 5, 1, 6, 2, 3, 10]","[[9, 1, 6, 2, 'M'], [8, 4, 7, 5, 'M', 3, 10], ['M', 4, 1, 6, 2], [8, 9, 7, 5, 3, 'M', 10]]",35.77806473,,258.3,0.385541439
34,588.5573039,664.3510791,"[7, 2, 10, 3, 8, 4, 6, 1, 5, 9]","[[2, 10, 3, 8, 4, 1, 5, 'M'], [7, 6, 9, 'M'], [2, 10, 'M', 1, 9], ['M', 7, 3, 8, 4, 6, 5]]",35.81927419,,230.72,0.607990592
35,470.5835162,638.5118675,"[5, 1, 4, 9, 6, 2, 10, 3, 8, 7]","[[1, 9, 2, 10, 8, 'M'], [5, 4, 6, 3, 7, 'M'], [5, 9, 2, 10, 'M', 7], [1, 4, 6, 3, 8, 'M']]",34.05247569,,247.95,0.473100966
36,575.7628168,786.3156274,"[5, 2, 6, 8, 10, 9, 1, 3, 4, 7]","[[5, 9, 1, 3, 'M'], [2, 6, 8, 10, 4, 7, 'M'], [8, 9, 1, 4, 'M'], ['M', 5, 2, 6, 10, 3, 7]]",34.59278011,,295.57,0.486646252
37,560.914404,641.528018,"[10, 1, 3, 6, 4, 7, 9, 8, 5, 2]","[[1, 6, 4, 5, 'M'], [10, 3, 7, 9, 8, 2, 'M'], ['M', 6, 4, 9, 8, 2], [10, 1, 3, 7, 5, 'M']]",34.8727951,,281.66,0.497855648
38,444.2008923,557.3922374,"[6, 4, 7, 9, 10, 2, 8, 5, 1, 3]","[[4, 10, 5, 1, 'M'], [6, 7, 9, 2, 8, 3, 'M'], [7, 10, 2, 8, 'M'], [6, 4, 9, 'M', 5, 1, 3]]",34.59660625,,210.67,0.525732605
39,422.0374288,660.47377,"[10, 1, 4, 3, 7, 9, 2, 8, 6, 5]","[[1, 4, 9, 2, 'M'], [10, 3, 7, 'M', 8, 6, 5], ['M', 1, 3, 7, 2, 6, 5], [10, 4, 9, 'M', 8]]",35.6101706,,205.4,0.513313308
40,473.2865105,600.6266796,"[4, 8, 2, 9, 7, 10, 5, 3, 6, 1]","[[4, 8, 10, 3, 'M'], [2, 9, 7, 5, 6, 1, 'M'], [4, 8, 2, 7, 5, 6, 1, 'M'], [9, 10, 3, 'M']]",33.27734089,,171.4,0.6378515
41,466.7044853,633.5700081,"[8, 2, 6, 3, 5, 1, 10, 7, 9, 4]","[[8, 3, 1, 10, 4, 'M'], [2, 6, 5, 7, 9, 'M'], ['M', 6, 3, 5, 1, 10, 4], [8, 2, 7, 9, 'M']]",34.18555951,,288.5,0.38183581
42,463.1758662,702.921592,"[2, 8, 9, 7, 10, 6, 5, 3, 4, 1]","[[8, 7, 10, 6, 3, 1, 'M'], [2, 9, 5, 4, 'M'], [2, 'M', 7, 6, 3, 1], [8, 'M', 9, 10, 5, 4]]",35.28035045,,304.87,0.341783495
43,574.3560371,735.0679515,"[3, 1, 5, 6, 2, 4, 8, 7, 9, 10]","[[5, 4, 8, 9, 'M'], [3, 1, 6, 2, 7, 10, 'M'], ['M', 1, 5, 2, 8, 9], ['M', 3, 6, 4, 7, 10]]",34.86782193,,283.22,0.506891228
44,546.9542736,705.0715957,"[4, 6, 3, 1, 8, 9, 5, 2, 10, 7]","[[4, 1, 5, 10, 'M'], [6, 3, 8, 9, 2, 7, 'M'], ['M', 4, 1, 9, 2, 10], [6, 3, 8, 5, 7, 'M']]",34.31955767,,231.47,0.576801917
45,383.8294318,454.9425934,"[2, 3, 7, 4, 9, 8, 5, 10, 6, 1]","[[2, 3, 4, 8, 5, 6, 'M'], [7, 9, 10, 1, 'M'], [3, 7, 4, 9, 'M', 10, 6, 1], [2, 8, 5, 'M']]",34.11510611,,161.43,0.57942256
46,509.5391997,663.7598166,"[2, 3, 6, 10, 9, 1, 8, 4, 5, 7]","[[2, 3, 10, 9, 8, 7, 'M'], [6, 'M', 1, 4, 5], ['M', 6, 9, 1, 4, 5], [2, 3, 10, 'M', 8, 7]]",35.94861078,,290.68,0.429523773
47,449.9413799,558.6330995,"[8, 3, 9, 1, 5, 7, 2, 4, 6, 10]","[[9, 1, 4, 10, 'M'], [8, 3, 5, 7, 2, 6, 'M'], [8, 3, 5, 2, 4, 'M', 6], [9, 1, 7, 10, 'M']]",34.44333148,,188.75,0.580500909
48,532.0662104,704.4820671,"[7, 1, 5, 8, 10, 4, 2, 6, 3, 9]","[[1, 10, 2, 6, 9, 'M'], [7, 5, 'M', 8, 4, 3], [1, 10, 2, 6, 3, 9, 'M'], [7, 5, 8, 4, 'M']]",34.99523115,,284.24,0.465780772
49,480.0693211,644.5881755,"[4, 1, 6, 7, 8, 9, 5, 3, 2, 10]","[[4, 8, 'M', 5, 3, 10], [1, 6, 7, 9, 2, 'M'], ['M', 4, 6, 7, 9, 3, 10], [1, 8, 5, 2, 'M']]",35.21934223,,237.94,0.504363246
,,,,,,,,
,,,,,,,,0.502475664
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
