,final objective value,first objective value,final shared job order,final schedule,time,,gurobi,Gap
0,500.8624882,594.6085263,"[8, 9, 1, 2, 10, 5, 3, 4, 7, 6]","[[8, 'M', 4, 7, 6], [9, 1, 2, 10, 5, 3, 'M'], ['M', 8, 1, 10, 4, 7, 6], [9, 2, 5, 3, 'M']]",99.22506332,,217.43,0.565888831
1,485.884042,666.349972,"[6, 4, 7, 8, 1, 5, 2, 3, 10, 9]","[[6, 1, 5, 10, 9, 'M'], [4, 7, 8, 2, 3, 'M'], [4, 7, 1, 5, 'M', 10, 9], [6, 8, 2, 3, 'M']]",95.8455286,,187,0.61513451
2,456.0683891,746.9105628,"[4, 6, 8, 9, 1, 7, 5, 2, 3, 10]","[[4, 8, 7, 5, 2, 'M', 10], [6, 9, 1, 3, 'M'], [6, 9, 7, 2, 3, 'M'], [4, 8, 1, 5, 10, 'M']]",103.506783,,319.22,0.300061114
3,459.8101358,588.1556632,"[3, 8, 2, 5, 1, 4, 6, 7, 9, 10]","[[8, 2, 5, 4, 7, 10, 'M'], [3, 'M', 1, 6, 9], [3, 2, 4, 9, 'M'], ['M', 8, 5, 1, 6, 7, 10]]",101.6505654,,279.91,0.391248739
4,468.1220735,604.1369012,"[1, 6, 10, 2, 8, 4, 3, 9, 5, 7]","[[10, 2, 'M', 8, 9, 5, 7], [1, 6, 4, 3, 'M'], [6, 4, 'M', 3, 7], [1, 10, 'M', 2, 8, 9, 5]]",91.29180455,,258.71,0.44734501
5,438.5584607,606.2524368,"[5, 10, 4, 3, 1, 2, 8, 9, 7, 6]","[[5, 4, 1, 8, 7, 'M'], [10, 3, 2, 9, 6, 'M'], ['M', 3, 8, 9, 7, 6], [5, 10, 4, 1, 2, 'M']]",86.5878191,,212.39,0.515708807
6,469.056285,667.0376039,"[4, 10, 9, 6, 8, 7, 5, 1, 3, 2]","[[4, 6, 8, 3, 'M'], [10, 9, 'M', 7, 5, 1, 2], ['M', 10, 6, 8, 7, 3, 2], [4, 9, 5, 1, 'M']]",86.7388773,,329.78,0.296928726
7,396.1823288,649.0328909,"[10, 6, 2, 8, 7, 9, 5, 4, 1, 3]","[[2, 8, 7, 5, 1, 3, 'M'], [10, 6, 9, 4, 'M'], [2, 8, 7, 5, 'M', 4], [10, 6, 9, 1, 3, 'M']]",77.86895537,,244.25,0.383490928
8,392.6881126,585.0227197,"[5, 4, 2, 9, 8, 3, 10, 1, 6, 7]","[[4, 2, 8, 6, 7, 'M'], [5, 9, 3, 10, 1, 'M'], [4, 9, 'M', 3, 6, 7], [5, 2, 8, 10, 1, 'M']]",78.70978522,,177.99,0.546739526
9,438.8877359,716.6228342,"[9, 1, 6, 4, 3, 7, 5, 2, 10, 8]","[[1, 4, 7, 2, 10, 'M'], [9, 6, 'M', 3, 5, 8], [1, 4, 3, 5, 8, 'M'], ['M', 9, 6, 7, 2, 10]]",74.23034263,,275.78,0.371638856
10,503.3894024,673.1687055,"[1, 9, 6, 3, 5, 4, 8, 7, 10, 2]","[[9, 6, 7, 10, 2, 'M'], [1, 3, 5, 4, 8, 'M'], ['M', 1, 6, 5, 4, 8], [9, 3, 7, 10, 2, 'M']]",72.31267571,,305.77,0.392577598
11,440.0990971,536.2247312,"[7, 1, 8, 3, 10, 9, 4, 6, 2, 5]","[[7, 8, 9, 4, 2, 'M'], [1, 3, 10, 6, 5, 'M'], ['M', 7, 8, 3, 4, 6], [1, 10, 9, 2, 5, 'M']]",87.4101975,,165.32,0.62435733
12,413.2889663,520.8828906,"[3, 1, 5, 7, 4, 8, 9, 6, 2, 10]","[[3, 1, 'M', 7, 8, 6], [5, 4, 9, 2, 10, 'M'], [1, 7, 9, 6, 'M'], ['M', 3, 5, 4, 8, 2, 10]]",89.21864581,,231.47,0.439931818
13,458.7075072,647.26848,"[9, 2, 4, 6, 1, 7, 10, 5, 8, 3]","[[4, 7, 10, 3, 'M'], [9, 2, 6, 1, 5, 8, 'M'], [9, 'M', 4, 6, 1, 5], [2, 'M', 7, 10, 8, 3]]",81.8014605,,280.26,0.389022426
