,final objective value,first objective value,final shared job order,final schedule,time,,gurobi,Gap
22,410.9690449,766.4709682,"[6, 9, 8, 2, 3, 7, 1, 5, 4, 10]","[[6, 8, 2, 7, 5, 4, 'M'], [9, 3, 1, 10, 'M'], [8, 2, 7, 5, 4, 10, 'M'], [6, 9, 3, 'M', 1]]",34.20016885,,207.31,0.495558114
23,513.7617521,544.3596414,"[1, 9, 6, 8, 3, 7, 2, 4, 5, 10]","[[9, 8, 4, 'M', 5, 10], [1, 6, 3, 7, 2, 'M'], [1, 6, 3, 4, 'M', 10], [9, 8, 7, 2, 5, 'M']]",34.9894433,,277.4,0.460061013
24,542.0776318,710.5139256,"[8, 1, 5, 2, 4, 10, 6, 9, 7, 3]","[[8, 2, 4, 6, 9, 'M'], [1, 5, 10, 7, 3, 'M'], [8, 2, 'M', 9, 3], [1, 'M', 5, 4, 10, 6, 7]]",35.5342226,,220.04,0.594080281
25,431.9686717,678.5636041,"[1, 2, 5, 3, 9, 8, 6, 10, 4, 7]","[[2, 9, 8, 6, 7, 'M'], [1, 5, 3, 10, 4, 'M'], ['M', 1, 2, 5, 3, 8, 6, 4], [9, 10, 7, 'M']]",33.97400308,,250.39,0.420351483
26,580.1444761,688.3182023,"[2, 5, 4, 3, 1, 9, 10, 6, 7, 8]","[[5, 3, 7, 'M'], [2, 4, 1, 9, 10, 6, 8, 'M'], [2, 5, 9, 6, 'M'], ['M', 4, 3, 1, 10, 7, 8]]",34.91980696,,313.81,0.459083017
27,464.2155782,670.066257,"[7, 4, 6, 1, 9, 10, 3, 5, 8, 2]","[[7, 4, 3, 5, 8, 'M'], [6, 1, 9, 10, 2, 'M'], ['M', 6, 1, 9, 3, 5, 8], [7, 4, 10, 2, 'M']]",34.55880928,,203.22,0.562229254
28,528.3790577,731.1668807,"[1, 8, 7, 3, 2, 6, 10, 4, 9, 5]","[[1, 7, 3, 10, 9, 'M'], [8, 2, 6, 4, 5, 'M'], ['M', 8, 3, 6, 4, 5], [1, 'M', 7, 2, 10, 9]]",34.96450353,,244.97,0.536374509
29,522.1480933,673.1393963,"[6, 8, 9, 7, 4, 3, 1, 10, 2, 5]","[[8, 4, 3, 1, 'M', 10], [6, 9, 7, 2, 5, 'M'], ['M', 8, 4, 3, 1], [6, 9, 7, 10, 2, 5, 'M']]",34.42943072,,220.21,0.578261411
30,570.7478527,776.5900581,"[8, 3, 7, 10, 5, 1, 6, 4, 2, 9]","[[8, 3, 5, 6, 4, 2, 'M'], [7, 10, 1, 9, 'M'], ['M', 8, 3, 5, 6, 4, 2, 9], [7, 10, 1, 'M']]",34.98354387,,227.26,0.601820666
31,491.1531091,675.3730972,"[6, 7, 4, 5, 2, 3, 1, 8, 9, 10]","[[6, 7, 2, 1, 8, 10, 'M'], [4, 5, 3, 9, 'M'], [4, 5, 2, 3, 8, 'M'], [6, 7, 1, 9, 10, 'M']]",33.07451916,,269.21,0.451881715
32,586.2507209,625.3574621,"[3, 8, 4, 9, 10, 2, 6, 7, 5, 1]","[[3, 'M', 9, 10, 7, 5], [8, 4, 'M', 2, 6, 1], ['M', 4, 9, 10, 7, 5], [3, 8, 2, 6, 'M', 1]]",35.89071512,,232.8,0.602900275
33,439.5023261,505.1086475,"[8, 9, 4, 7, 5, 1, 6, 2, 3, 10]","[[9, 5, 'M', 1, 2, 10], [8, 4, 7, 6, 3, 'M'], ['M', 4, 5, 1, 2, 10], [8, 9, 'M', 7, 6, 3]]",35.48437357,,258.3,0.4122898
34,585.4402419,742.6049409,"[7, 2, 10, 3, 8, 4, 6, 1, 5, 9]","[[2, 10, 4, 6, 5, 'M'], [7, 3, 8, 1, 9, 'M'], [7, 2, 10, 8, 1, 'M'], [3, 4, 6, 5, 9, 'M']]",33.54316545,,230.72,0.605903415
35,462.8424542,631.0652046,"[5, 1, 4, 9, 6, 2, 10, 3, 8, 7]","[[4, 'M', 10, 3, 7], [5, 1, 9, 6, 2, 8, 'M'], [5, 1, 2, 3, 8, 'M'], [4, 9, 6, 10, 7, 'M']]",34.90772152,,247.95,0.464288555
36,556.2565686,817.5821103,"[5, 2, 6, 8, 10, 9, 1, 3, 4, 7]","[[2, 6, 3, 7, 'M'], [5, 8, 10, 9, 1, 4, 'M'], ['M', 8, 10, 9, 1, 3], [5, 2, 'M', 6, 4, 7]]",34.83448625,,295.57,0.468644477
37,502.7925808,664.887183,"[10, 1, 3, 6, 4, 7, 9, 8, 5, 2]","[[1, 3, 6, 4, 7, 'M'], [10, 9, 8, 5, 2, 'M'], [9, 8, 5, 2, 'M'], [10, 1, 3, 6, 4, 7, 'M']]",33.11426783,,281.66,0.439808759
38,407.2001974,664.193929,"[6, 4, 7, 9, 10, 2, 8, 5, 1, 3]","[[4, 9, 10, 8, 1, 3, 'M'], [6, 7, 2, 5, 'M'], [7, 2, 5, 1, 3, 'M'], ['M', 6, 4, 9, 10, 8]]",34.36887026,,210.67,0.482637775
39,422.5857018,645.9484863,"[10, 1, 4, 3, 7, 9, 2, 8, 6, 5]","[[1, 4, 7, 9, 8, 5, 'M'], [10, 3, 2, 'M', 6], [1, 3, 'M', 9, 8, 5], [10, 4, 7, 2, 6, 'M']]",34.00292301,,205.4,0.513944747
40,454.4711986,565.335901,"[4, 8, 2, 9, 7, 10, 5, 3, 6, 1]","[[4, 2, 7, 5, 1, 'M'], [8, 9, 'M', 10, 3, 6], [4, 2, 7, 'M', 3, 6, 1], [8, 9, 10, 5, 'M']]",35.64435863,,171.4,0.622858389
41,435.5015985,689.8078571,"[8, 2, 6, 3, 5, 1, 10, 7, 9, 4]","[[8, 3, 1, 'M', 4], [2, 6, 5, 10, 7, 9, 'M'], [6, 3, 5, 1, 9, 'M'], [8, 2, 'M', 10, 7, 4]]",34.3874743,,288.5,0.337545486
42,485.502942,620.8463756,"[2, 8, 9, 7, 10, 6, 5, 3, 4, 1]","[[8, 9, 10, 6, 4, 1, 'M'], [2, 7, 5, 3, 'M'], [2, 'M', 8, 7, 10, 6, 1], ['M', 9, 5, 3, 4]]",35.3106308,,304.87,0.372053239
43,584.958959,808.4005221,"[3, 1, 5, 6, 2, 4, 8, 7, 9, 10]","[[5, 2, 8, 9, 'M'], [3, 1, 6, 4, 'M', 7, 10], [1, 5, 2, 8, 7, 10, 'M'], [3, 6, 4, 'M', 9]]",34.90312195,,283.22,0.515829281
44,500.4063078,752.5003425,"[4, 6, 3, 1, 8, 9, 5, 2, 10, 7]","[[1, 8, 9, 10, 7, 'M'], [4, 6, 3, 5, 2, 'M'], [1, 8, 9, 10, 7, 'M'], [4, 6, 3, 5, 2, 'M']]",33.81337166,,231.47,0.537435887
45,348.4598777,513.9827648,"[2, 3, 7, 4, 9, 8, 5, 10, 6, 1]","[[2, 3, 4, 5, 10, 6, 'M'], [7, 9, 8, 1, 'M'], [3, 7, 9, 8, 1, 'M'], [2, 4, 5, 10, 6, 'M']]",33.17192721,,161.43,0.536732891
46,458.4828179,628.2179331,"[2, 3, 6, 10, 9, 1, 8, 4, 5, 7]","[[2, 3, 10, 9, 4, 7, 'M'], [6, 1, 8, 5, 'M'], [3, 1, 4, 'M'], [2, 'M', 6, 10, 9, 8, 5, 7]]",34.71866608,,290.68,0.36599587
47,500.8827267,592.5295247,"[8, 3, 9, 1, 5, 7, 2, 4, 6, 10]","[[9, 1, 4, 10, 'M'], [8, 3, 5, 7, 2, 6, 'M'], [8, 3, 1, 5, 4, 10, 'M'], [9, 7, 2, 6, 'M']]",33.09952903,,188.75,0.623165284
48,450.4753416,663.9946029,"[7, 1, 5, 8, 10, 4, 2, 6, 3, 9]","[[7, 1, 8, 3, 9, 'M'], [5, 10, 4, 2, 6, 'M'], [5, 10, 4, 3, 9, 'M'], [7, 1, 8, 2, 6, 'M']]",33.44454384,,284.24,0.369022067
49,459.2703102,535.9438646,"[4, 1, 6, 7, 8, 9, 5, 3, 2, 10]","[[4, 9, 'M', 5, 3], [1, 6, 7, 8, 2, 10, 'M'], ['M', 1, 6, 7, 8, 10], [4, 9, 5, 3, 2, 'M']]",35.12550998,,237.94,0.481917305
,,,,,,,,
,,,,,,,,0.493297353
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
