,final objective value,first objective value,final shared job order,final schedule,time
0,311.59780195323316,433.3289391500524,"[8, 6, 3, 2, 5, 9, 7, 4, 1]","[[8, 6, 3, 2, 5, 9, 7, 4, 1, 'M'], ['M', 8, 6, 9, 1], ['M', 3, 7], [5, 'M'], [2, 'M', 4], [6, 'M', 9, 4], ['M', 8, 2, 7], [3, 5, 'M'], ['M', 1], [6, 'M'], [8, 'M', 3, 5, 4, 1], ['M', 2, 9, 7]]",106.47470831871033
1,605.7284212773327,1090.2105022696132,"[1, 8, 10, 5, 6, 2, 3, 9, 4, 7]","[[8, 6, 4, 'M'], [1, 5, 'M', 3, 7], [10, 2, 9, 'M'], [10, 5, 6, 3, 4, 7, 'M'], [1, 8, 2, 9, 'M'], [1, 10, 2, 3, 'M'], [8, 5, 6, 9, 4, 7, 'M'], [1, 10, 2, 'M', 9, 4], ['M', 8, 5, 6, 3, 7]]",102.3478171825409
2,395.0061298227384,656.7446644245856,"[3, 1, 2, 7, 8, 4, 5, 9, 6]","[[3, 7, 4, 5, 'M', 6], [1, 2, 8, 9, 'M'], ['M', 3, 7, 4, 6], [1, 9, 'M'], [2, 8, 'M', 5], ['M', 3, 1, 2, 7, 8, 4, 5, 9, 6], ['M', 2, 8, 9], [1, 7, 4, 5, 6, 'M'], ['M'], [3, 'M'], ['M', 7, 5, 6], [3, 'M', 4, 9], ['M', 8], [1, 2, 'M']]",130.13149547576904
3,310.9020952802032,343.9451880056404,"[7, 3, 4, 6, 2, 1, 5]","[[6, 'M'], [7, 2, 'M'], [3, 4, 1, 5, 'M'], [7, 3, 4, 6, 2, 1, 5, 'M'], [7, 'M', 3, 4, 6, 2, 1, 5], [7, 'M', 4, 2], ['M', 3, 6, 1, 5], ['M']]",75.4021646976471
4,373.2372386991185,487.53960871863785,"[8, 1, 7, 2, 4, 3, 5, 9, 6]","[[1, 7, 4, 3, 'M'], [8, 2, 'M', 5, 9, 6], [8, 'M', 1, 7, 2, 4, 3, 5, 9, 6], [8, 2, 'M', 5, 9], ['M'], [1, 'M', 7, 4, 3, 6], [8, 'M', 7, 2, 4, 3, 6], ['M', 1, 5, 9]]",95.43188071250916
5,362.90895755826824,524.1189245628075,"[5, 1, 7, 8, 10, 3, 4, 6, 9, 2]","[[1, 'M', 3, 4, 9, 2], [5, 7, 8, 10, 6, 'M'], ['M', 5, 1, 7, 8, 10, 3, 4, 6, 9, 2], [1, 7, 'M', 4, 9], ['M', 10], [5, 'M', 8, 3, 6, 2]]",84.9771683216095
6,278.99617822591006,504.5087754650579,"[3, 5, 4, 2, 1]","[['M'], [4, 1, 'M'], [5, 2, 'M'], [3, 'M'], [3, 'M'], [5, 'M'], [4, 2, 1, 'M'], [3, 4, 1, 'M'], [5, 2, 'M'], [3, 'M'], [4, 'M'], [2, 1, 'M'], [5, 'M'], ['M', 5, 2], ['M', 4], ['M', 3, 1]]",80.67858338356018
7,335.56490789539765,726.6922733803807,"[3, 1, 6, 5, 8, 2, 9, 7, 10, 4]","[[3, 9, 'M'], [6, 8, 4, 'M'], [1, 5, 2, 7, 10, 'M'], [2, 10, 'M'], [3, 6, 'M'], [5, 8, 7, 'M'], ['M', 1, 9, 4], [3, 'M', 8, 7, 4], [5, 'M'], [1, 2, 'M'], [6, 9, 'M', 10]]",94.23636674880981
8,647.2816453373329,783.6265010966524,"[4, 1, 6, 8, 3, 5, 7, 2]","[[4, 1, 6, 3, 5, 2, 'M'], ['M', 8, 7], ['M', 4, 1, 6, 8, 3, 5, 7, 2], ['M', 4, 1, 6, 8, 3, 5, 7, 2], [8, 3, 2, 'M'], [4, 'M', 1, 6, 5, 7], ['M'], [1, 'M', 3, 2], [6, 'M', 7], ['M', 4, 8, 5]]",110.93345856666565
9,459.4772807342952,779.689722231067,"[7, 2, 9, 6, 5, 4, 3, 8, 1]","[[4, 'M'], [7, 2, 5, 'M'], [6, 8, 1, 'M'], [9, 3, 'M'], [7, 2, 5, 4, 8, 'M'], [9, 6, 3, 1, 'M'], [2, 5, 'M'], [9, 4, 3, 'M'], [6, 'M', 8], [7, 'M', 1], [7, 2, 5, 4, 3, 'M'], ['M', 9, 6, 8, 1]]",104.40462899208069
10,607.7691228779955,1028.7018945906677,"[9, 5, 10, 2, 7, 1, 6, 3, 8, 4]","[[10, 2, 1, 6, 'M'], [5, 7, 3, 8, 'M'], [9, 4, 'M'], [9, 4, 'M'], [2, 'M'], [5, 6, 'M'], [10, 7, 'M', 1, 3, 8], [9, 5, 7, 1, 4, 'M'], [10, 2, 6, 3, 8, 'M'], [5, 6, 'M', 3, 8], [9, 10, 2, 7, 1, 4, 'M']]",111.01868987083435
11,1095.541138041469,1246.631974973861,"[2, 1, 5, 4, 8, 9, 7, 10, 3, 6]","[[5, 8, 7, 'M'], [9, 3, 'M'], [2, 4, 'M'], [1, 10, 'M', 6], ['M', 2, 1, 4, 8, 9, 7, 10, 3], [5, 6, 'M'], [2, 1, 5, 8, 9, 'M', 10, 3, 6], [4, 'M', 7], [2, 1, 'M', 8, 6], [5, 4, 9, 7, 10, 3, 'M'], [2, 1, 5, 4, 8, 9, 7, 10, 3, 6, 'M']]",137.10692954063416
12,442.5964676134618,740.8454741266905,"[6, 1, 4, 2, 8, 9, 10, 7, 3, 5]","[[6, 7, 5, 'M'], [2, 10, 3, 'M'], [1, 4, 8, 9, 'M'], [7, 3, 'M'], [1, 10, 5, 'M'], [6, 4, 'M', 2, 8, 9], [6, 1, 8, 9, 'M', 5], ['M', 4, 2, 10, 7, 3]]",83.20343542098999
13,788.6549234193157,1070.2467599759093,"[9, 1, 6, 2, 5, 8, 7, 3, 4]","[[6, 7, 3, 4, 'M'], [9, 1, 2, 5, 8, 'M'], [9, 2, 8, 7, 3, 4, 'M'], [1, 6, 5, 'M'], ['M', 9, 1, 6, 2, 5, 8, 7, 3, 4], [9, 1, 6, 2, 5, 'M', 8, 7, 3, 4], [9, 'M', 6, 8, 3], [1, 'M', 2, 5, 7, 4]]",109.83292841911316
14,153.9396139051393,189.80887658469697,"[3, 2, 1, 5, 4]","[[1, 4, 'M'], [2, 5, 'M'], [3, 'M'], [3, 2, 5, 4, 'M'], [1, 'M'], [3, 1, 5, 'M'], ['M', 2, 4]]",44.78608298301697
15,436.52315696617643,555.2167172568652,"[3, 6, 7, 1, 4, 5, 2]","[[4, 'M'], [1, 2, 'M'], [6, 5, 'M'], [3, 'M', 7], [3, 6, 7, 1, 4, 5, 2, 'M'], [3, 7, 5, 'M'], [6, 1, 4, 'M', 2], ['M'], [3, 6, 7, 1, 4, 5, 2, 'M']]",79.11972498893738
16,176.00857066255236,240.25489921928565,"[6, 3, 1, 5, 4, 2]","[[6, 3, 'M', 4], [1, 'M'], [5, 2, 'M'], [6, 3, 1, 5, 4, 2, 'M'], [6, 1, 4, 'M'], ['M', 3, 5, 2]]",51.690438747406006
17,434.42599859108515,535.5876487713588,"[8, 2, 6, 4, 5, 3, 1, 7]","[[8, 2, 6, 4, 5, 3, 1, 'M', 7], ['M', 4, 1, 7], [2, 6, 5, 'M'], [8, 3, 'M'], ['M'], ['M', 8, 6, 3, 7], ['M', 2, 4], ['M', 5, 1], ['M', 2, 6, 5, 1, 7], [4, 3, 'M'], [8, 'M']]",95.02634620666504
18,268.45573943068905,402.54611478791685,"[4, 6, 2, 3, 1, 8, 7, 5]","[[3, 5, 'M'], [4, 2, 8, 7, 'M'], [6, 1, 'M'], [6, 3, 1, 7, 'M'], [4, 2, 8, 5, 'M'], [3, 1, 7, 'M'], [4, 'M'], [6, 2, 'M'], ['M', 8, 5]]",73.45777463912964
19,277.39486175977913,453.54061957850814,"[2, 7, 3, 5, 4, 6, 1]","[[1, 'M'], [2, 7, 5, 'M'], [3, 'M'], [4, 6, 'M'], [5, 'M', 4, 6], [7, 1, 'M'], [2, 3, 'M'], [2, 7, 'M'], ['M', 3], [5, 4, 1, 'M'], [6, 'M']]",68.29607391357422
20,791.753343105505,1025.3953152149975,"[7, 6, 2, 8, 1, 3, 10, 5, 4, 9]","[[1, 'M'], [6, 10, 4, 'M', 9], [7, 2, 'M'], ['M', 8, 3, 5], [7, 6, 2, 8, 1, 3, 10, 5, 4, 9, 'M'], ['M', 6, 2, 1, 3, 5, 4], ['M', 7, 8, 10, 9], [6, 'M', 1, 3, 4], [7, 'M', 2, 8, 10, 5, 9], ['M', 7, 6, 2, 5, 4, 9], [1, 'M', 10], [8, 3, 'M']]",138.55523324012756
21,143.932838890396,183.12904404502825,"[2, 1, 4, 3, 5]","[['M', 2, 1, 4, 3, 5], [2, 'M', 3], ['M', 4, 5], [1, 'M'], ['M', 2, 1, 4, 3, 5], ['M'], ['M'], ['M', 1], ['M', 3], [2, 'M', 4], [5, 'M']]",68.31992888450623
22,149.2438390905815,329.2575618176591,"[3, 2, 5, 4, 1]","[[3, 5, 1, 'M'], [2, 4, 'M'], [3, 5, 1, 'M'], ['M', 2, 4], [3, 5, 'M'], [2, 1, 'M'], ['M', 4], [3, 5, 'M'], ['M', 1], [2, 4, 'M']]",57.73045802116394
23,816.3833383733526,1397.2261139367881,"[7, 3, 10, 1, 8, 5, 6, 4, 2, 9]","[[1, 5, 4, 2, 'M'], [10, 9, 'M'], [7, 3, 8, 6, 'M'], [10, 1, 5, 6, 'M'], [2, 'M'], [7, 3, 8, 4, 9, 'M'], [3, 'M', 6, 2], [10, 1, 'M'], [8, 'M', 4, 9], [7, 5, 'M'], [8, 6, 'M'], [10, 4, 'M'], [3, 1, 5, 2, 'M'], [7, 9, 'M'], [7, 3, 5, 2, 'M'], [10, 'M', 8, 6], [1, 4, 9, 'M']]",140.0021562576294
24,715.5324223535597,975.340213702792,"[1, 3, 6, 9, 8, 4, 7, 5, 2]","[[1, 6, 9, 4, 7, 5, 'M'], [3, 8, 2, 'M'], [1, 8, 4, 2, 'M'], [3, 6, 9, 7, 5, 'M'], ['M', 3, 7, 2], [6, 9, 4, 'M'], [1, 8, 'M', 5], [3, 'M', 7, 5], [1, 9, 8, 'M'], ['M', 6, 4, 2], [1, 6, 'M'], ['M', 3, 4, 5], ['M', 7], ['M', 9, 8, 2]]",127.8747181892395
25,369.7287874849784,477.3944139584427,"[9, 1, 2, 4, 6, 5, 7, 3, 8]","[[9, 1, 2, 4, 6, 5, 'M', 7, 3, 8], [2, 'M', 5, 8], [7, 3, 'M'], [9, 1, 4, 6, 'M'], [9, 1, 'M', 2, 4, 6, 5, 7, 3, 8], ['M', 9, 1, 2, 4, 6, 5, 7, 3, 8]]",93.01822447776794
