,final objective value,first objective value,final shared job order,final schedule,time,,Lower Bound
15,423.4765466,544.9881128,"[3, 6, 7, 1, 4, 5, 2]","[[6, 7, 2, 'M'], ['M'], [1, 5, 'M'], [3, 4, 'M'], [3, 6, 7, 1, 4, 5, 2, 'M'], [3, 'M', 1, 5, 2], ['M', 6], ['M', 7, 4], ['M', 3, 6, 7, 1, 4, 5, 2]]",51.68480515,,
16,180.2500508,207.8719358,"[6, 3, 1, 5, 4, 2]","[[6, 3, 2, 'M'], [1, 4, 'M'], [5, 'M'], [6, 3, 1, 5, 4, 2, 'M'], [6, 'M', 5, 4], ['M', 3, 1, 2]]",31.91066408,,
17,309.5141138,507.6878458,"[8, 2, 6, 4, 5, 3, 1, 7]","[['M', 8, 2, 6, 4, 5, 3, 1, 7], ['M', 6, 7], [1, 'M'], [8, 2, 4, 5, 3, 'M'], [4, 5, 'M'], [2, 7, 'M'], [6, 'M', 3], [8, 'M', 1], [8, 6, 'M', 1], [4, 5, 7, 'M'], [2, 3, 'M']]",71.7858274,,
18,289.0779856,450.0779171,"[4, 6, 2, 3, 1, 8, 7, 5]","[[2, 7, 'M'], [4, 1, 8, 'M'], [6, 3, 5, 'M'], [6, 1, 7, 5, 'M'], [4, 2, 3, 8, 'M'], [6, 'M', 8], [4, 'M', 3, 5], [2, 1, 'M'], [7, 'M']]",49.86500716,,
19,345.4941458,512.2040502,"[2, 7, 3, 5, 4, 6, 1]","[['M'], [2, 7, 3, 'M'], [5, 4, 'M'], [6, 1, 'M'], ['M', 3, 4, 1], [7, 6, 'M'], [2, 5, 'M'], [4, 'M'], [2, 'M', 1], [3, 5, 'M'], [7, 6, 'M']]",45.85283279,,
20,791.6832832,944.1849141,"[7, 6, 2, 8, 1, 3, 10, 5, 4, 9]","[[2, 1, 10, 'M', 9], [8, 3, 'M'], [6, 5, 'M'], [7, 'M', 4], ['M', 7, 6, 2, 8, 1, 3, 10, 5, 4, 9], [6, 2, 'M', 1, 3, 5, 4, 9], [7, 'M', 8, 10], ['M', 2, 8, 3, 5, 4, 9], [7, 6, 1, 10, 'M'], [6, 2, 'M', 9], ['M', 1, 10, 5, 4], [7, 8, 3, 'M']]",97.23308682,,
21,143.6995169,200.3733698,"[2, 1, 4, 3, 5]","[['M', 2, 1, 4, 3, 5], [2, 'M', 3], ['M'], [1, 4, 'M', 5], [2, 3, 5, 'M'], ['M', 1, 4], ['M'], ['M', 3], ['M'], ['M', 4], ['M', 2, 1, 5]]",44.46293497,,
22,208.1360101,277.6378133,"[3, 2, 5, 4, 1]","[[3, 5, 'M'], [2, 4, 1, 'M'], [5, 'M'], [3, 2, 4, 1, 'M'], [3, 5, 'M', 1], ['M'], [2, 4, 'M'], [5, 1, 'M'], [2, 4, 'M'], [3, 'M']]",38.13469267,,
23,945.630362,1388.295396,"[7, 3, 10, 1, 8, 5, 6, 4, 2, 9]","[[1, 6, 'M'], [7, 8, 2, 9, 'M'], [3, 10, 5, 4, 'M'], [7, 8, 6, 4, 'M'], [10, 1, 5, 'M', 9], [3, 2, 'M'], [7, 1, 6, 4, 'M'], [5, 'M', 9], [10, 'M', 8], [3, 'M', 2], ['M', 3, 6, 4, 9], [7, 1, 2, 'M'], ['M'], [10, 8, 5, 'M'], [7, 6, 2, 'M'], [3, 1, 8, 5, 'M'], ['M', 10, 4, 9]]",95.83318925,,
24,799.9705501,887.0595905,"[1, 3, 6, 9, 8, 4, 7, 5, 2]","[[1, 9, 8, 2, 'M'], [3, 6, 4, 7, 5, 'M'], ['M', 3, 6, 4, 7, 5, 2], [1, 9, 8, 'M'], [3, 'M', 5], [1, 6, 9, 4, 'M'], [8, 'M', 7, 2], [1, 4, 'M'], [3, 'M', 6, 8, 2], ['M', 9, 7, 5], ['M', 6, 4, 5, 2], ['M', 7], [3, 9, 8, 'M'], [1, 'M']]",93.28554177,,
