,final objective value,first objective value,final shared job order,final schedule,time
34,172.57873430098886,218.97341565326002,"[1, 4, 3, 2, 5]","[[1, 4, 3, 2, 5, 'M'], [3, 'M'], ['M', 2, 5], ['M', 1, 4], ['M', 3, 2], [1, 'M', 5], [4, 'M'], ['M']]",31.411776542663574
35,145.9961805903701,205.23723329716637,"[4, 5, 1, 2, 3]","[[4, 5, 1, 2, 3, 'M'], [4, 5, 'M', 1, 2, 3], ['M', 2, 3], ['M'], ['M'], [4, 5, 1, 'M'], ['M', 3], ['M', 4, 5, 1, 2]]",37.90184569358826
36,438.2807532831914,461.65710543397097,"[3, 5, 4, 1, 6, 7, 8, 2, 9]","[[3, 5, 1, 7, 9, 'M'], [4, 6, 8, 2, 'M'], [3, 'M', 7, 2], [1, 'M', 8, 9], [5, 6, 'M'], [4, 'M'], [3, 4, 1, 8, 'M', 9], ['M', 5, 6, 7, 2]]",50.07169508934021
37,431.12484808071156,562.0115836425988,"[8, 7, 9, 6, 4, 3, 2, 5, 1, 10]","[[9, 6, 'M'], [7, 2, 5, 'M'], [8, 4, 3, 1, 'M', 10], ['M', 8, 7, 9, 6, 4, 3, 2, 5, 1, 10], [8, 7, 9, 6, 4, 3, 2, 5, 1, 10, 'M']]",47.93490123748779
38,389.5745341384793,538.2557791498589,"[5, 2, 3, 1, 6, 4]","[[5, 2, 'M'], [3, 6, 4, 'M'], [1, 'M'], [2, 'M'], [1, 6, 'M'], ['M', 5, 3, 4], [5, 2, 3, 1, 6, 4, 'M'], ['M', 3, 6], ['M', 5, 2, 1, 4], [6, 'M'], [2, 'M'], [5, 'M', 3, 1, 4]]",51.37542366981506
39,159.5743964345478,303.7917553007723,"[5, 1, 3, 2, 4]","[[5, 1, 2, 'M'], ['M'], [4, 'M'], [3, 'M'], [1, 4, 'M'], ['M'], [2, 'M'], [5, 3, 'M'], ['M', 5, 4], [1, 2, 'M'], [3, 'M']]",33.60322856903076
40,425.2508928676821,587.3052309967298,"[2, 6, 9, 5, 3, 4, 1, 8, 7]","[[2, 6, 9, 5, 4, 'M'], ['M'], ['M'], [3, 1, 'M', 8, 7], ['M', 2, 6, 9, 5, 3, 4, 1, 8, 7], [6, 5, 'M'], ['M', 1], ['M', 8], ['M', 2, 9, 3, 4, 7], ['M', 6, 9, 3, 4, 1, 7], [2, 'M', 5, 8], ['M']]",66.13370609283447
41,893.5570826364584,1059.3758690351642,"[6, 8, 1, 9, 2, 4, 7, 3, 5]","[[6, 8, 1, 4, 7, 3, 5, 'M'], [9, 2, 'M'], [8, 1, 9, 2, 4, 'M'], [3, 5, 'M'], [6, 7, 'M'], [6, 1, 9, 4, 5, 'M'], ['M', 8, 2, 7, 3], ['M', 6, 1, 9, 4, 3], [8, 2, 7, 5, 'M'], [6, 8, 'M', 1, 9, 2, 4, 7, 3, 5]]",67.80256795883179
42,336.05159265558825,406.85916326934364,"[1, 5, 2, 3, 4]","[[1, 5, 'M'], ['M'], [3, 'M'], [2, 4, 'M'], ['M', 1, 5, 2], ['M', 4], ['M', 3], ['M'], ['M', 4], [1, 'M'], ['M', 5, 3], [2, 'M'], ['M', 1, 5, 2, 3, 4], [1, 2, 'M', 4], ['M', 5, 3]]",51.254271507263184
43,273.2357818809522,530.468104905487,"[7, 8, 1, 6, 2, 5, 4, 3]","[[7, 8, 'M'], [6, 2, 4, 3, 'M'], [1, 5, 'M'], [1, 6, 2, 5, 4, 'M'], [7, 8, 3, 'M'], [7, 8, 'M'], ['M', 3], [1, 2, 'M'], ['M', 6, 5, 4]]",45.201539039611816
44,239.9476924835982,325.17285550513594,"[1, 3, 4, 5, 2]","[[3, 4, 2, 'M'], [1, 5, 'M'], [3, 'M'], ['M', 1, 4, 5, 2], ['M', 1, 3, 4, 5, 2], ['M'], [3, 'M', 2], [1, 'M'], ['M', 4, 5]]",38.723854303359985
45,459.3982300043857,586.4821522636875,"[1, 9, 8, 3, 5, 2, 6, 7, 4]","[[1, 3, 6, 4, 'M'], [9, 8, 5, 2, 7, 'M'], ['M', 1, 9, 8, 3, 5, 2, 6, 7, 4], [3, 5, 'M', 6, 7, 4], [1, 9, 8, 2, 'M'], ['M', 9, 8, 6, 7, 4], ['M', 1, 3, 5, 2]]",52.36118030548096
46,204.02148478032615,241.61319555582995,"[1, 2, 4, 3, 5]","[[2, 4, 'M', 5], ['M'], [1, 'M'], [3, 'M'], [1, 3, 5, 'M'], ['M'], [2, 4, 'M'], ['M', 1, 2, 4, 3, 5]]",31.694927215576172
47,314.224786452289,364.63171153940283,"[2, 4, 8, 6, 3, 7, 1, 5]","[[4, 3, 1, 'M'], [2, 8, 6, 7, 5, 'M'], [2, 4, 8, 6, 3, 7, 1, 5, 'M'], ['M', 6, 1], ['M', 4, 8, 3, 5], [2, 'M', 7]]",40.136006593704224
48,436.4241448423348,591.1145501496176,"[1, 9, 3, 2, 5, 6, 7, 4, 8]","[['M', 3, 2, 6, 4, 8], [1, 9, 5, 7, 'M'], [3, 5, 'M'], [1, 2, 6, 4, 8, 'M'], [9, 7, 'M'], [9, 5, 7, 'M'], ['M', 2, 4], [1, 3, 6, 8, 'M']]",45.27189016342163
49,775.929894786771,934.4152599822581,"[6, 5, 9, 1, 4, 7, 8, 2, 3]","[[4, 7, 2, 3, 'M'], [6, 5, 9, 1, 8, 'M'], [5, 9, 1, 7, 2, 'M', 3], [6, 4, 8, 'M'], [6, 5, 9, 1, 4, 7, 8, 2, 3, 'M'], ['M'], ['M'], [6, 5, 'M', 9, 1, 4, 8], [7, 2, 'M', 3], [8, 'M'], [5, 9, 'M', 4, 7], [1, 'M', 2, 3], [6, 'M']]",76.66214489936829
