,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,18.0,35.77183622233619,1,35.77183622233619,49.229165946483846
2,1,26.147917216348816,33.31950842526635,2,33.31950842526635,49.37446662998673
3,1,55.431914652762075,72.76326007431278,2,72.76326007431278,92.1630012383499
4,2,53.54367244467238,66.33939452475444,1,66.33939452475444,70.37659344199874
5,1,13.0,17.183428205201896,2,17.183428205201896,21.86612434824534
6,1,33.31950842526635,44.07689523864265,2,49.37446662998673,56.73298914048357
7,1,44.07689523864265,55.431914652762075,2,56.73298914048357,68.77420779402385
8,1,17.183428205201896,26.147917216348816,1,26.147917216348816,34.89518153704479
9,2,66.33939452475444,76.2916228092627,1,76.2916228092627,91.09468550582513
10,2,35.77183622233619,53.54367244467238,1,53.54367244467238,61.618070279160975
