,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,62.15273384925356,78.34206959397986,1,78.34206959397986,97.82318212481141
2,1,16.0,20.861334693548482,2,20.861334693548482,26.03574022593038
3,2,40.812245822114335,48.17103479698993,1,50.4891299809251,61.31197027583151
4,1,20.861334693548482,30.58400408064545,2,30.58400408064545,40.93281514540924
5,2,48.17103479698993,62.15273384925356,1,62.15273384925356,71.53252877150578
6,1,38.223244313364496,56.279630317973144,2,60.152035694256284,71.97924833970062
7,2,18.0,21.679394487437797,1,21.679394487437797,36.83137090030677
8,1,56.279630317973144,73.64153993778916,2,73.64153993778916,88.42555574459458
9,1,30.58400408064545,38.223244313364496,1,38.223244313364496,50.4891299809251
10,2,21.679394487437797,40.812245822114335,2,40.93281514540924,60.152035694256284
