,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,31.825257310694283,36.78157163836786,1,37.35853741789705,49.81690727705127
2,2,0.0,17.68742711396933,1,17.68742711396933,24.244463881945236
3,2,62.29050418397895,69.21167131553217,2,70.50595727269867,83.94942596333092
4,2,17.68742711396933,23.83957567534997,1,24.244463881945236,37.35853741789705
5,1,44.5700655818549,60.855098372782344,1,66.86520287378863,76.70075802575249
6,1,18.372404135580304,31.825257310694283,2,31.825257310694283,43.77500725792296
7,2,23.83957567534997,39.988965648974144,2,43.77500725792296,60.20591343536239
8,1,36.78157163836786,44.5700655818549,1,49.81690727705127,66.86520287378863
9,2,39.988965648974144,62.29050418397895,2,62.29050418397895,70.50595727269867
10,1,12.0,18.372404135580304,2,18.372404135580304,31.815872826212562
