,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,8.726626354236487,19.906505416945947,2,28.14209981570145,36.850307727238146
2,1,5.0,8.726626354236487,2,10.0,28.14209981570145
3,1,36.055219618637395,50.3406206432106,1,57.41918090078562,73.67344974342569
4,2,24.281641044206893,31.620137956002374,2,36.850307727238146,57.89514351345183
5,2,15.475444750052318,24.281641044206893,1,30.82128643101096,52.24736808721833
6,2,38.224785176618305,51.43407961785017,1,73.67344974342569,89.18888818412758
7,1,24.87534055592793,36.055219618637395,2,76.76292732178133,97.08207911536695
8,1,19.906505416945947,24.87534055592793,2,57.89514351345183,76.76292732178133
9,2,31.620137956002374,38.224785176618305,1,52.24736808721833,57.41918090078562
10,2,3.0,15.475444750052318,1,19.0,30.82128643101096
