,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,55.96567711854546,65.00113089145704,1,76.80215267428525,99.18207086378354
2,1,34.882951648418434,55.96567711854546,1,55.96567711854546,76.80215267428525
3,2,34.69359428954772,46.95646497965007,2,46.95646497965007,56.59633466093319
4,1,5.517726886455791,19.070907545823164,1,21.723874540920068,35.61485824474659
5,2,46.95646497965007,56.15361799722683,2,56.59633466093319,77.35913089754298
6,2,14.0,20.89786476318257,2,20.89786476318257,26.830092259356796
7,2,20.89786476318257,27.02930010823375,2,27.02930010823375,41.11834041164754
8,1,1.0,5.517726886455791,1,5.517726886455791,21.723874540920068
9,2,27.02930010823375,34.69359428954772,2,41.11834041164754,46.30903947079999
10,1,19.070907545823164,34.882951648418434,1,35.61485824474659,51.821005899210874
