,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,53.99318570483235,71.71192785583472,2,71.71192785583472,80.49523350095245
2,1,9.86173398633853,27.239536924861916,2,27.239536924861916,38.53235846858471
3,1,37.53749422176466,42.042850539159616,1,42.042850539159616,53.8381762349918
4,1,42.042850539159616,52.98443016711879,1,53.8381762349918,69.00359498677604
5,2,20.09646158987131,41.66710420848288,2,41.66925334184104,49.825180012307506
6,1,27.239536924861916,37.53749422176466,2,38.53235846858471,41.66925334184104
7,1,6.0,9.86173398633853,1,9.86173398633853,25.86967600211078
8,1,52.98443016711879,66.50049911930364,1,69.00359498677604,80.79892068260821
9,2,7.0,20.09646158987131,2,20.09646158987131,26.99763031103524
10,2,41.66710420848288,53.99318570483235,2,53.99318570483235,71.55979699506781
