,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,18.772418439627565,29.738999727076358,1,32.53809840094789,35.66666202852069
2,1,17.0,20.932646090699674,2,20.932646090699674,29.226272163272945
3,2,33.60955782852887,40.70558101452515,2,47.70872215190343,52.68489779544739
4,1,20.932646090699674,35.87670123535844,1,35.87670123535844,50.26809392219332
5,1,45.31505185303766,66.55134074281591,1,66.55134074281591,72.18275527244695
6,2,29.738999727076358,33.60955782852887,2,33.60955782852887,47.70872215190343
7,2,2.0,18.772418439627565,1,18.772418439627565,32.53809840094789
8,1,35.87670123535844,45.31505185303766,1,50.26809392219332,53.396657549766125
9,2,40.70558101452515,59.413278504878974,2,59.413278504878974,64.38945414842294
10,2,59.413278504878974,76.18569694450653,1,76.18569694450653,87.44852600376862
