,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,16.57227938577642,31.129655516675427,2,31.13366971223499,41.17706419806175
2,1,31.129655516675427,41.71683815732925,1,41.71683815732925,45.99663625318085
3,1,41.71683815732925,54.950816458146534,1,54.950816458146534,62.89901292187095
4,2,47.86653641256222,58.92649733633088,2,58.92649733633088,76.69557988817822
5,2,25.746614565024885,33.734364121080034,1,36.751809668643304,41.03160776449491
6,2,40.49322913004978,47.86653641256222,1,47.86653641256222,53.36913396437143
7,2,33.734364121080034,40.49322913004978,2,41.17706419806175,55.85587152350085
8,1,54.950816458146534,59.582708863432586,1,62.89901292187095,69.01301020165896
9,1,4.0,16.57227938577642,2,18.0,31.13366971223499
10,2,11.0,25.746614565024885,1,25.746614565024885,36.751809668643304
