,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,28.979206593644122,33.63894212485883,1,33.63894212485883,39.34104153928651
2,1,48.949501727421435,54.940590267554626,1,62.30307035580546,77.50866879427926
3,2,47.13208178089885,63.93438176306786,2,69.5818269045927,88.11367617634941
4,1,33.63894212485883,44.28976619620673,1,44.56320551091935,50.26530492534703
5,2,32.62100452357107,39.49467269809475,1,39.49467269809475,44.56320551091935
6,1,15.0,28.979206593644122,1,28.979206593644122,32.78060620326257
7,2,39.49467269809475,47.13208178089885,1,50.26530492534703,62.30307035580546
8,2,20.40114999108451,32.62100452357107,2,33.94365522813749,51.762741066365095
9,2,12.0,20.40114999108451,2,20.40114999108451,33.94365522813749
10,1,44.28976619620673,48.949501727421435,2,51.762741066365095,69.5818269045927
