,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,21.62376193090044,32.927920043912735,2,35.79592885717716,51.94106134397505
2,2,38.24752386180088,57.53108770164539,2,72.12247695247243,90.68937931229
3,1,46.42489189691834,64.70905690614711,1,66.02415166195982,83.8331425967109
4,2,32.927920043912735,38.24752386180088,1,60.08782135037612,66.02415166195982
5,1,41.09201043589328,46.42489189691834,1,48.215160727208726,60.08782135037612
6,1,10.618402087178655,21.284165009228772,1,38.321276874569236,48.215160727208726
7,2,5.0,8.324752386180087,2,14.0,35.79592885717716
8,1,21.284165009228772,41.09201043589328,2,51.94106134397505,72.12247695247243
9,2,8.324752386180087,21.62376193090044,1,25.78902399455921,38.321276874569236
10,1,3.0,10.618402087178655,1,10.618402087178655,25.78902399455921
