,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,41.692953835357045,53.71153038776347,1,55.19044050399816,63.00477489110618
2,1,4.0,10.170209531524478,1,10.170209531524478,30.771636552081976
3,2,64.31615675753383,72.79985785335013,2,83.59908151426532,91.11678447275635
4,1,54.132952443636384,64.93081912380421,1,64.93081912380421,81.26988193321188
5,1,30.22339050897903,41.79253338058743,2,46.76233701765929,59.54243204709404
6,2,53.71153038776347,64.31615675753383,2,67.81190530143417,83.59908151426532
7,2,31.08832746558667,41.692953835357045,1,41.692953835357045,55.19044050399816
8,1,41.79253338058743,54.132952443636384,2,59.54243204709404,67.81190530143417
9,2,12.0,31.08832746558667,1,31.08832746558667,36.061085711928136
10,1,10.170209531524478,30.22339050897903,2,30.22339050897903,46.76233701765929
