,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,48.80916800866464,63.391020456960035,1,63.391020456960035,81.18910031465252
2,2,16.0,23.290926224147697,1,23.290926224147697,31.86037208155519
3,1,24.057251846239318,42.460425716815124,1,42.460425716815124,49.05230714559012
4,1,42.460425716815124,46.26797893141701,1,49.05230714559012,62.89525814601761
5,1,64.67115280199282,71.0170748263293,2,71.47449304414404,76.27473795438704
6,1,12.0,24.057251846239318,1,31.86037208155519,39.111441653207685
7,1,46.26797893141701,64.67115280199282,2,67.47428895227488,71.47449304414404
8,2,63.391020456960035,67.64406075437952,2,76.27473795438704,81.07498286463003
9,2,23.290926224147697,37.87277867244309,2,37.87277867244309,49.87339094805057
10,2,37.87277867244309,48.80916800866464,2,49.87339094805057,67.47428895227488
