,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,22.47796583346903,38.27457555591742,1,38.27457555591742,45.84910800260454
2,1,20.315236268833225,33.48102702781917,2,33.48102702781917,50.82271511431621
3,1,33.48102702781917,47.33975414254121,1,47.33975414254121,63.0714753779683
4,1,47.33975414254121,62.584353968735456,1,63.0714753779683,69.4806951405497
5,2,13.0,22.47796583346903,2,22.47796583346903,33.006847885985096
6,2,60.38982916734516,78.71389644538529,2,78.71389644538529,94.81689252570396
7,1,62.584353968735456,81.29363557361022,1,81.29363557361022,96.44270046698445
8,2,48.38440577828439,60.38982916734516,2,61.970943169921455,77.45459324715095
9,2,38.27457555591742,48.38440577828439,2,50.82271511431621,61.970943169921455
10,1,12.0,20.315236268833225,1,20.315236268833225,34.29898847810175
