,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,31.310845735397898,50.88386061787537,2,50.88386061787537,68.03857919784308
2,1,80.34562551003637,100.16957931645189,2,100.16957931645189,112.42294973071454
3,1,15.0,33.355512783718076,1,33.355512783718076,52.87827173260297
4,2,50.88386061787537,72.90350236066254,2,72.90350236066254,88.22021537849085
5,2,22.339880580929055,31.310845735397898,2,31.310845735397898,49.078232836078726
6,1,59.05323068092339,80.34562551003637,1,80.34562551003637,84.41286695772072
7,2,15.0,22.339880580929055,2,22.339880580929055,26.01589170520785
8,2,72.90350236066254,90.02989038283033,1,90.02989038283033,110.3660976212521
9,1,42.90037943125148,59.05323068092339,1,59.38585804889793,78.90861699778281
10,1,33.355512783718076,42.90037943125148,1,52.87827173260297,59.38585804889793
