,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,22.34693012179247,36.69386024358494,2,36.69386024358494,52.37507526250979
2,2,59.745130276488794,67.71936503422275,1,69.29637263651746,80.32397575763184
3,1,49.44668701851158,70.9670822012003,2,72.12179047152625,83.73750530035947
4,2,32.92270427320186,50.3210346537123,2,52.37507526250979,62.82921860845968
5,2,67.71936503422275,85.84262584725445,1,85.84262584725445,98.34057605118407
6,2,15.524373892691417,32.92270427320186,1,33.644164993783,43.93659457348975
7,1,36.69386024358494,49.44668701851158,1,49.44668701851158,69.29637263651746
8,1,8.0,22.34693012179247,2,22.34693012179247,36.28578791639234
9,2,9.0,15.524373892691417,1,16.0,33.644164993783
10,2,50.3210346537123,59.745130276488794,2,62.82921860845968,72.12179047152625
