,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,31.250239489012664,35.13489171809154,2,48.80855414756435,56.79852342479357
2,1,35.13489171809154,41.60931209988966,1,50.304926532273,61.19359663045492
3,2,18.16818022403275,26.053178470468772,2,29.923172219568016,48.80855414756435
4,2,51.1418092545834,60.460443545825974,1,79.5682274211369,99.30394197409161
5,1,18.301398725416426,31.250239489012664,1,38.73571455295472,50.304926532273
6,2,26.053178470468772,46.124083097760476,2,56.79852342479357,77.13662703955886
7,1,41.60931209988966,55.205594901665705,2,77.13662703955886,93.1165655940173
8,2,11.0,18.16818022403275,1,19.0,38.73571455295472
9,2,46.124083097760476,51.1418092545834,1,61.19359663045492,79.5682274211369
10,1,6.0,18.301398725416426,2,18.301398725416426,29.923172219568016
