,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,1,2.0,9.164128357071476,2,11.0,23.314841372973994
2,2,9.0,14.42905221890489,1,14.42905221890489,21.280265827008066
3,1,9.164128357071476,29.94010059257876,1,29.94010059257876,33.67712619699867
4,1,29.94010059257876,34.23857760682164,2,34.23857760682164,50.24787139168784
5,2,14.42905221890489,26.4936127053602,2,26.4936127053602,30.188065117252396
6,1,50.71607282808604,62.89509103510755,2,62.89509103510755,74.59419033943284
7,2,36.74848911884721,46.40013750801146,1,46.40013750801146,50.760000713168026
8,2,46.40013750801146,55.448557872852945,1,55.448557872852945,60.43125867874616
9,2,26.4936127053602,36.74848911884721,1,36.74848911884721,45.46821552916035
10,1,34.23857760682164,50.71607282808604,2,50.71607282808604,58.104977651870435
