benchmark
"[ 3 30 43 29  7 19 45  2 11 21 25 12 49 20 41 17 35 22  9 23 39 18 33 50
 28 10 38  5 44 34 48 46  4  8 47 37 27 15 31  1  6 14 24 36 42 13 16 40
 26 32]"
"[ 1  4 45 28 32 47 48 14 43 46 18 24 27 30 22 49 40 50 38 11 15  9 37  2
 10 29  6 44 42 21  7 34  3 36 39 31 20 25 19  5 16 26 13 17 33 35 41 12
  8 23]"
"[46 43 36  8  7 29 14 47 12 16 49  3 10 27 48 41  6 34 44 19 45 11 17 25
 22  4 13 32 20 33 40 39 21 35 28  9 30 15 31  2  5 18 38 50 37  1 24 23
 26 42]"
"[45 17 13 37 12  8 10 41 20 47 15 28  2 42  9 29 26  5  1 14 38 39 16 31
  6 19 43 24  3 33 36 11 49 34  7  4 23 22 40 48 25 35 32 18 21 44 50 27
 46 30]"
