weight_L,weight_H
2880.6042389545137,1598.216005598555
4321.728046014776,0.0
0.0,4517.873565157772
19.401751122966743,719.7717317110457
948.5364807994392,613.4674720342389
68.44100480408838,306.34617614958586
1466.6413718245162,0.0
595.3998248940804,916.6799447997387
2044.339223674901,971.5879040648509
3227.7417360028994,519.9578638515452
2072.246438622946,347.0491850622967
4851.291359536252,19.19833121862964
0.8840151478525513,145.94925864923306
1629.4083952026956,3173.516713633456
874.7064614359354,259.8274917918248
58.79425340968464,473.27861235026023
0.0,3604.1438849760007
609.8109169759509,1766.395257192802
476.51192898500426,3138.639450352015
386.2382852430146,443.9191593560045
893.5856928717499,2129.7641223965456
0.0,157.36008562068548
3611.2472819315553,233.86789624909528
4302.931588681804,566.7951277911401
2463.267687830777,3369.488941410272
1692.4640730008628,3293.092980103252
893.7188769493723,2949.495524431038
114.44836679604828,0.0
834.0706362548922,2843.1216236771775
0.0,1533.1985971008876
