weight_L,weight_H
"[[1654.6930481842169, 971.6491130449749, 965.7688954884702, 907.8253798243586, 893.5856928717499, 893.5856928717499, 2234.64576671965, 2958.863203554047, 2026.8927873539712, 1338.4912171289618, 1596.7560746982037, 1664.941139193964, 2072.2497354646453, 2229.354603223, 1709.3203521533796]]","[[5864.691627491546, 2925.478106428944, 2699.6084800579397, 2515.348984361488, 2350.7160837164965, 2257.763647293685, 2183.8575653454227, 2150.174732059409, 2129.7641223965456, 2129.7641223965456, 2724.53261660122, 3776.0181858002843, 3989.764031216136, 5624.19969443464, 3329.9967611555367, 3551.9763865003197, 2985.0959502047926, 3336.4388143295987, 3287.073193069949]]"
"[[306.1831574985065, 0.0, 0.0, 747.3545688825204, 438.53064926530556, 285.73724498819115, 379.0589653232503, 641.4854718684446, 774.4489040159328, 501.89626864781894, 691.0699842491581, 142.8436366471483]]","[[729.5968395185803, 391.07427514910637, 233.15262233446308, 196.63397453200565, 171.64831806544413, 157.36008562068548, 157.36008562068548, 808.3863713075943, 1027.798561966827, 827.718022144131, 951.2620567808817, 1072.0377945543653, 946.2939503543205, 648.2022126391539, 1346.8486861686729, 811.9206920208655]]"
"[[3762.2930591787294, 3727.9279103921613, 3696.134983153193, 3666.108329649725, 3636.0816761462575, 3625.484033733269, 3621.943441325041, 3618.410893854045, 3613.8966925348022, 3611.2472819315553, 3612.40928194596, 5170.07041831766, 3764.4516043618687, 4027.6183502325985, 4801.422255971228, 3997.5578126386763, 4317.171691450916, 4647.044024791656, 6294.953079010772, 4409.901612103757]]","[[1212.484440216382, 557.8279930725187, 412.37137590065197, 332.47416931030557, 237.811514065717, 233.86789624909528, 233.86789624909528, 1769.9370825781505, 1439.488783068992, 1410.5354414504334, 1091.5043275615194, 1714.025782045213, 1636.937599432815, 1532.1306087065693, 1154.259057508537, 919.4893459191939]]"
"[[6790.3296869111255, 4464.828223338738, 4410.828223338738, 4387.69944412278, 4365.69944412278, 4349.214495021901, 4338.446639580925, 4308.931588681804, 4302.931588681804, 4302.931588681804, 5519.4564648907735, 4844.1006677286005, 5188.821487715946, 4931.075745584042, 5923.135226561286, 4470.2356999983695, 5229.512452007864, 5198.868791070736, 4869.2998223318045]]","[[2801.71910599927, 1095.2203204052282, 936.8528769733425, 806.7208193671017, 710.0668467134681, 637.7647787030368, 586.9151028462993, 566.7951277911401, 566.7951277911401, 2206.7691737898067, 922.5517247858085, 2967.198672748632, 702.8030471215711, 1985.2447861808562, 1271.5949395407338, 2709.927110774189, 747.6729192999582, 1042.8440613072219]]"
"[[2709.222626000148, 2590.156926930081, 2564.156926930081, 2509.4269105089243, 2478.4970306511395, 2468.4970306511395, 2465.267687830777, 2463.267687830777, 2463.267687830777, 2983.2897758834583, 3063.2130377590793, 3566.5246158247683, 3227.957711802511, 3490.9673258811968, 2748.712568060853, 3235.5464699447425, 3636.4116898483353, 3026.0191392395845]]","[[3544.519791167273, 3481.296984340191, 3448.5950097077994, 3416.0818011791644, 3393.875387102308, 3381.7550259831046, 3373.050986013023, 3369.488941410272, 3371.2086852385373, 4915.379977637908, 4256.645447961231, 4692.427794663299, 3831.6541622312006, 4947.198940549907, 4344.425185622542, 4977.190378934388, 4179.508642850116, 4469.915354079115]]"
"[[3819.9542674884815, 1755.964076740768, 1733.3476370525825, 1716.8202388189086, 1701.1627036501648, 1692.4640730008628, 1695.0736621956535, 3703.449826350382, 4153.066438754289, 2507.713706773639, 2825.0327839400647, 2401.143739917646, 3444.208428940643, 2486.4901725529394, 5245.829686366763, 2395.2642603438417]]","[[5727.967451839996, 3502.1487479820685, 3335.93097669097, 3311.476711737729, 3296.412644919536, 3293.092980103252, 3294.9696562882928, 4359.116141108589, 3396.586246742234, 3652.221842563643, 4599.871011044259, 3564.111271785876, 3676.791054812444, 3704.5358245690754, 4544.353963739902, 4062.909933422202]]"
"[[5478.072401842704, 902.1074987960051, 893.718876949375, 893.7188769493723, 893.718876949375, 2692.891173425414, 1846.8132757371652, 2240.4263712033967, 1859.83308196667, 1822.5914107997166, 1796.4273877631201, 1726.8446841218429, 2351.9201911519217, 1932.8370851508394]]","[[4767.447207521502, 3137.287983607178, 3110.8900706119593, 3025.299684168551, 2965.2993915154107, 2957.0506689988756, 2950.9014911901972, 2949.495524431038, 2949.495524431038, 3757.3646196855702, 3679.983007661037, 3746.987349527625, 3528.7276924148623, 3635.658736044439, 4044.4877904316504, 3498.2424747278847, 4842.35237612398, 3781.3908258790693]]"
"[[114.44836679604828, 704.6682179281534, 2142.246539622347, 905.3102057630374, 1604.9849472416056, 664.2154866341211, 371.37000798656004, 531.0572258736292, 963.5769445229682, 1016.689099283022, 912.9710160764555]]","[[854.9721758341801, 445.46458011525317, 277.5524307947362, 144.29405146736678, 55.494191335187864, 0.0, 0.0, 790.8844315055785, 392.86797741815485, 798.6892679769826, 578.7671099338202, 525.7923233942016, 1286.4804075716368, 746.3979295533968, 698.8727607752477, 837.8890601100268]]"
"[[916.3412273323697, 849.0706362548922, 837.0706362548922, 834.0706362548922, 834.0706362548922, 1220.0692133248938, 1321.9235401860972, 1294.9616085106788, 1836.2838634679085, 2154.016723412457, 1520.3242358945329, 2245.276622302272, 1605.3389065824892, 1838.537201661072]]","[[6708.088561223176, 2870.1156931547644, 2853.5823661313016, 2845.501753351048, 2843.426936101579, 2843.1216236771775, 2843.426936101579, 5827.703058799872, 3596.851830158239, 3255.0396748239245, 4613.309079220676, 3639.716438823513, 3317.5906441596253, 3460.3271987667176, 3126.065267272845, 3346.7816156391723]]"
"[[0.0, 0.0, 699.0887378069931, 0.0, 593.4608784651746, 0.0, 527.732349695772, 0.0, 80.75023851106334, 125.5218804722258, 0.0]]","[[4632.108554752969, 1769.6772857594185, 1621.9884945878666, 1546.2258004060593, 1533.1985971008876, 1533.1985971008876, 1892.3610886211443, 2944.9592286168463, 1748.8365281540755, 1721.8140694365595, 1746.2278602061558, 1848.3834008261738, 3038.0989701070857, 1808.1317422006928, 2540.6263360303465]]"
