prod_discount_L,prod_discount_H
"[[1414.1879503703028, 654.5140982771215, 576.2254888245204, 539.9685181466724, 508.6014783978847, 508.6014783978847, 1495.6322239032463, 1169.0025273478009, 1451.6039447314067, 2305.638026076112, 1443.7421209664283, 1172.879405436165, 1370.952523878242, 1495.7128284984967, 2064.451634082658]]","[[316.89091595622403, 85.607405532538, 24.333714257400352, 8.16946013280449, 0.0, 0.0, 786.5235614003559, 481.6419802925128, 1319.1072736537087, 1680.5184463470705, 290.44688603252547, 1666.6407977804793, 402.9971900155629, 2510.7480786091446, 865.4218865225266]]"
"[[1726.9041428006244, 1491.8587541598583, 1390.8025855067544, 1325.3110184591342, 1278.7809195286459, 1227.7183083516172, 1185.5860892872035, 1159.8305475245859, 1137.2500403865638, 1121.432252397765, 1120.7593514314656, 1121.432252397765, 2738.5122551724876, 2457.6587394533403, 2368.5837907448154, 2957.720359991699, 2424.6865794662153, 2692.3411912733372, 2433.0595186571227, 2880.5902896939065, 2576.7257684866554]]","[[3467.068208682002, 2411.335901811624, 2336.890042297892, 2301.790018433877, 2268.108941607495, 2240.648141610983, 2179.0830260833727, 2175.7209310019684, 2177.2331224857917, 2928.099977816077, 2916.3768457930305, 2934.3573516853407, 2851.606898923537, 2901.3407133695478, 3138.2324827537127, 2845.362089759303, 3359.9164440208215, 2825.0847334155355]]"
"[[106.93593415956632, 30.259836544904378, 30.259836544904378, 783.8629021493407, 1012.0621007014875, 781.3020432008661, 726.2897909233972, 219.44975795261564, 1251.545750799667, 1030.0244243824884, 476.4289874114248, 518.3353916085141]]","[[5875.985145579639, 3839.2702837730913, 3708.061240208925, 3604.2351903315994, 3572.2583507623003, 3547.0960394614985, 3524.704945576558, 3504.427239219055, 3503.7734098802903, 3504.414319681675, 6039.597392271631, 4247.126840921435, 4220.009036555495, 5586.73130445887, 4905.243376372752, 4650.955763594047, 4333.788967768961, 4474.953801930046, 3905.028976519206]]"
"[[556.9899787922676, 140.48949068399543, 89.31483450862362, 53.82879799506955, 22.09962436508699, 0.0, 0.0, 826.719971272356, 602.8088529713184, 674.989177591754, 1097.0717606010458, 443.06080325644666, 1498.211556508707, 1428.8096877391881, 90.69024347373526, 1720.0032145207163]]","[[513.9530341966063, 162.1405639547918, 77.53774898510119, 77.53774898510119, 706.6102937634048, 445.027764549311, 204.3372642772135, 651.972399557618, 326.33006258301805, 247.9616431262147, 380.77686997198987, 675.2737287107853, 408.9881146907581]]"
"[[5822.445410922419, 2413.6626978519653, 2323.104187587847, 2269.7502761013216, 2222.3435976363417, 2207.484915403429, 2198.733340108636, 2192.7314413955805, 2192.7314413955805, 3410.8407212633106, 2220.2696868334897, 4810.787383603108, 2572.243787421138, 2302.5641134501066, 2320.6138274132645, 4395.234601335949, 2862.6274173394454, 1884.2832140761811, 1739.9553521319804, 1610.6487349471474, 1552.5045721483255, 1521.4477348892938, 1496.8686772802046, 1472.9062283323087, 1444.0210293363307, 1440.5802239780187, 1440.5802239780187, 3341.5212693940307, 2185.9988846907036, 2538.189986497844, 2697.3359169520145, 3813.548344771925, 2730.58553884636, 3830.8908974531187, 4714.838736147918, 3852.7079609297425]]","[[772.421949911857, 520.1556053005604, 407.6131913742859, 320.08798155641637, 296.9685029548179, 267.25747861935497, 255.45775370314558, 255.45775370314473, 255.45775370314473, 1625.672520929723, 1264.1658326776158, 1558.4702834042685, 1613.2107183035052, 1284.5355645080351, 1165.1406715590606, 769.3216467048603, 1002.8691889457212, 680.7347502157613]]"
"[[942.1227381419321, 507.8555593862389, 385.9838291361755, 316.6566078140349, 302.65631396864757, 302.65631396864757, 614.6888182871021, 898.9509936752387, 861.4712419634959, 1235.2912688956274, 1164.909853029099, 1379.2709592909287, 1214.725143994509, 1099.3801500280777, 1185.8224711283526]]","[[6135.957440714641, 4371.4442977562885, 4032.4972769199885, 4020.219797626073, 4007.805897599017, 3998.1305574818352, 3994.3349552038853, 3995.382250434889, 4783.530907959035, 4890.586592364848, 4359.45590428428, 5132.146442828275, 4893.713824583753, 5170.743508113216, 4560.614135784621, 4871.87681304784, 4521.143538402273]]"
"[[1733.0417268366136, 1646.6604717823839, 1602.3752534388318, 1558.3091028349168, 1467.5836633542976, 1458.5459051129546, 1453.6184708613814, 1448.8209454935882, 1448.8209454935882, 3609.465139661429, 2084.339123187357, 2350.306319958716, 2241.3539666624856, 3156.0826640730857, 2055.50110377016, 2192.109019773525, 2796.6737347976295, 2311.404970712427]]","[[415.54223945521414, 154.28492022528823, 95.58057707136652, 78.60641312828015, 78.60641312828015, 415.1612092560483, 643.9289765612709, 920.0751283073092, 1123.9594226678319, 740.6976351715409, 870.4703707534164, 1707.9053275867038, 884.2365746210172, 1656.9308448762588]]"
"[[2395.051240621058, 968.7866271144201, 903.6110147407896, 831.8109793888068, 773.13271097689, 740.9995442661648, 732.5365112261195, 732.5365112261195, 2800.656579137374, 2210.42434911918, 2111.6939083356665, 1650.2448364685206, 1412.1700206972791, 2574.151706176423, 1602.3817044228047, 1728.6714944996133, 1930.1823905248898]]","[[3592.7871490175794, 2137.7242850169114, 1944.6445219356822, 1874.1799785167095, 1805.686402183483, 1784.7750596525298, 1777.677441092178, 1778.8062128984034, 3058.1725096645346, 3392.066432602583, 3192.470210078589, 3648.236799659068, 2854.702879033767, 3046.0020938211337, 2398.4313311021674, 3022.1468056622043, 2638.6691983978653]]"
"[[2257.499482610771, 1302.5654203440079, 1244.6647084073604, 1227.4074468333001, 1214.581689957232, 1214.0650962603067, 1196.2598541571847, 1179.9892930661865, 1179.9228125059587, 1179.9228125059587, 1966.6403262765896, 1586.2464347466318, 1766.9331670079723, 1630.6676087166074, 2167.278583019382, 2372.286670198974, 1753.8315925896593, 2300.9970022866382, 2450.608495708533]]","[[2137.306712656673, 1670.797463668467, 1560.8790688709457, 1524.8018994497854, 1513.1431212511952, 1505.7046889563346, 1503.5024119687496, 1503.5024119687496, 2475.6012223427247, 2046.562272821444, 2417.662151860782, 2045.8690498790127, 2270.296087795528, 2786.3132981351755, 2778.672861595654, 1861.9336465021136, 3559.1771281669508]]"
"[[3240.666106036151, 3185.7344579655655, 3152.8258681593516, 3127.1646432643092, 3094.684565109139, 3076.087562407777, 3077.2130767394665, 3694.0922061566534, 4136.922413362494, 5852.802363987012, 3610.416328211353, 4323.263062709599, 3893.703089795933, 3599.9462814797894, 3723.945465766041, 4194.361037319587]]","[[2978.0106910369186, 1805.8646636074516, 1650.2919864731673, 1581.0635688572904, 1559.700213155021, 1549.1703508375344, 1541.445497605873, 1536.142471255935, 1534.921739986236, 1536.142471255935, 2894.536371299673, 3458.3595835550764, 2272.427575277944, 2650.6203652431527, 2768.0723627819216, 3543.166813348162, 2656.140120754427, 2490.586787554675, 5234.025794681049]]"
