prod_discount_L,prod_discount_H
"[[1414.1879503703028, 654.5140982771215, 576.2254888245204, 539.9685181466724, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847, 508.6014783978847]]","[[316.89091595622403, 85.607405532538, 24.333714257400352, 8.16946013280449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
"[[1726.9041428006244, 1491.8587541598583, 1390.8025855067544, 1325.3110184591342, 1278.7809195286459, 1227.7183083516172, 1185.5860892872035, 1159.8305475245859, 1137.2500403865638, 1121.432252397765, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656, 1120.7593514314656]]","[[3467.068208682002, 2411.335901811624, 2336.890042297892, 2301.790018433877, 2268.108941607495, 2240.648141610983, 2179.0830260833727, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684, 2175.7209310019684]]"
"[[106.93593415956632, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378, 30.259836544904378]]","[[5875.985145579639, 3839.2702837730913, 3708.061240208925, 3604.2351903315994, 3572.2583507623003, 3547.0960394614985, 3524.704945576558, 3504.427239219055, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903, 3503.7734098802903]]"
"[[556.9899787922676, 140.48949068399543, 89.31483450862362, 53.82879799506955, 22.09962436508699, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[513.9530341966063, 162.1405639547918, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119, 77.53774898510119]]"
"[[5822.445410922419, 2413.6626978519653, 2323.104187587847, 2269.7502761013216, 2222.3435976363417, 2207.484915403429, 2198.733340108636, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 2192.7314413955805, 1884.2832140761811, 1739.9553521319804, 1610.6487349471474, 1552.5045721483255, 1521.4477348892938, 1496.8686772802046, 1472.9062283323087, 1444.0210293363307, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187, 1440.5802239780187]]","[[772.421949911857, 520.1556053005604, 407.6131913742859, 320.08798155641637, 296.9685029548179, 267.25747861935497, 255.45775370314558, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473, 255.45775370314473]]"
"[[942.1227381419321, 507.8555593862389, 385.9838291361755, 316.6566078140349, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757, 302.65631396864757]]","[[6135.957440714641, 4371.4442977562885, 4032.4972769199885, 4020.219797626073, 4007.805897599017, 3998.1305574818352, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853, 3994.3349552038853]]"
"[[1733.0417268366136, 1646.6604717823839, 1602.3752534388318, 1558.3091028349168, 1467.5836633542976, 1458.5459051129546, 1453.6184708613814, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882, 1448.8209454935882]]","[[415.54223945521414, 154.28492022528823, 95.58057707136652, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015, 78.60641312828015]]"
"[[2395.051240621058, 968.7866271144201, 903.6110147407896, 831.8109793888068, 773.13271097689, 740.9995442661648, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195, 732.5365112261195]]","[[3592.7871490175794, 2137.7242850169114, 1944.6445219356822, 1874.1799785167095, 1805.686402183483, 1784.7750596525298, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178, 1777.677441092178]]"
"[[2257.499482610771, 1302.5654203440079, 1244.6647084073604, 1227.4074468333001, 1214.581689957232, 1214.0650962603067, 1196.2598541571847, 1179.9892930661865, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587, 1179.9228125059587]]","[[2137.306712656673, 1670.797463668467, 1560.8790688709457, 1524.8018994497854, 1513.1431212511952, 1505.7046889563346, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496, 1503.5024119687496]]"
"[[3240.666106036151, 3185.7344579655655, 3152.8258681593516, 3127.1646432643092, 3094.684565109139, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777, 3076.087562407777]]","[[2978.0106910369186, 1805.8646636074516, 1650.2919864731673, 1581.0635688572904, 1559.700213155021, 1549.1703508375344, 1541.445497605873, 1536.142471255935, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236, 1534.921739986236]]"
