,final objective value,first objective value,final shared job order,final schedule,time
22,407.1068043953668,696.5401710111419,"[6, 9, 8, 2, 3, 7, 1, 5, 4, 10]","[[6, 8, 7, 1, 5, 4, 'M'], [9, 2, 3, 10, 'M'], [9, 8, 7, 5, 10, 'M'], [6, 'M', 2, 3, 1, 4]]",159.41060280799866
23,493.9574881408678,653.2591922508266,"[1, 9, 6, 8, 3, 7, 2, 4, 5, 10]","[[6, 3, 7, 2, 5, 10, 'M'], [1, 9, 8, 4, 'M'], [1, 'M', 6, 8, 3, 4, 5, 10], [9, 'M', 7, 2]]",167.5002784729004
24,476.1984171965028,715.7676761867305,"[8, 1, 5, 2, 4, 10, 6, 9, 7, 3]","[[8, 2, 4, 6, 7, 'M'], [1, 5, 10, 9, 3, 'M'], ['M', 8, 2, 4, 3], [1, 5, 10, 'M', 6, 9, 7]]",161.12485241889954
25,401.78898680983434,629.0833437584438,"[1, 2, 5, 3, 9, 8, 6, 10, 4, 7]","[[2, 3, 9, 10, 'M'], [1, 5, 8, 6, 4, 7, 'M'], ['M', 1, 2, 3, 8, 6, 4, 7], [5, 9, 10, 'M']]",155.45030331611633
26,553.6672446772739,747.3074648107731,"[2, 5, 4, 3, 1, 9, 10, 6, 7, 8]","[[5, 1, 9, 6, 7, 'M'], [2, 4, 3, 10, 'M', 8], [2, 5, 1, 10, 'M'], ['M', 4, 3, 9, 6, 7, 8]]",161.22896361351013
27,460.8936794805343,568.0827916235942,"[7, 4, 6, 1, 9, 10, 3, 5, 8, 2]","[[4, 1, 'M', 3, 5, 2], [7, 6, 9, 10, 8, 'M'], [4, 'M', 6, 10, 3, 8, 2], [7, 1, 9, 5, 'M']]",162.27745580673218
28,539.4151923752864,735.5322537778355,"[1, 8, 7, 3, 2, 6, 10, 4, 9, 5]","[[1, 7, 3, 6, 'M'], [8, 2, 10, 4, 9, 5, 'M'], ['M', 8, 3, 10, 4, 9, 5], [1, 7, 2, 6, 'M']]",157.95417284965515
29,482.91493014481904,616.1807145137219,"[6, 8, 9, 7, 4, 3, 1, 10, 2, 5]","[[6, 9, 4, 'M', 3, 10, 2], [8, 7, 1, 5, 'M'], [6, 8, 1, 'M', 5], ['M', 9, 7, 4, 3, 10, 2]]",157.77523398399353
30,554.0406111775567,730.8595536001582,"[8, 3, 7, 10, 5, 1, 6, 4, 2, 9]","[[8, 10, 5, 6, 2, 9, 'M'], [3, 7, 1, 4, 'M'], [3, 10, 5, 6, 2, 'M'], ['M', 8, 7, 1, 4, 9]]",151.10249710083008
31,519.09850997107,662.7911197379681,"[6, 7, 4, 5, 2, 3, 1, 8, 9, 10]","[[7, 5, 2, 8, 10, 'M'], [6, 4, 3, 1, 9, 'M'], [7, 4, 5, 2, 1, 10, 'M'], [6, 3, 8, 9, 'M']]",147.91635847091675
32,509.7562093128753,689.4007565879755,"[3, 8, 4, 9, 10, 2, 6, 7, 5, 1]","[[8, 9, 10, 'M', 7, 1], [3, 4, 2, 6, 5, 'M'], ['M', 8, 4, 2, 7, 5], [3, 'M', 9, 10, 6, 1]]",157.6693251132965
33,373.5874109301798,558.9708519174386,"[8, 9, 4, 7, 5, 1, 6, 2, 3, 10]","[[9, 1, 2, 3, 10, 'M'], [8, 4, 7, 5, 6, 'M'], ['M', 4, 1, 2, 3, 10], [8, 'M', 9, 7, 5, 6]]",154.54497051239014
34,527.3748213535944,603.5397802971997,"[7, 2, 10, 3, 8, 4, 6, 1, 5, 9]","[[10, 3, 8, 6, 5, 'M'], [7, 2, 4, 1, 9, 'M'], [7, 2, 8, 6, 1, 5, 'M'], ['M', 10, 3, 4, 9]]",151.22658848762512
35,465.1047657880251,620.8072772522785,"[5, 1, 4, 9, 6, 2, 10, 3, 8, 7]","[[1, 'M', 2, 10, 8, 7], [5, 4, 9, 6, 3, 'M'], ['M', 5, 2, 10, 3, 7], [1, 4, 9, 6, 8, 'M']]",155.26346969604492
36,561.102015558962,768.664914195594,"[5, 2, 6, 8, 10, 9, 1, 3, 4, 7]","[[5, 2, 10, 4, 7, 'M'], [6, 8, 9, 1, 3, 'M'], [6, 8, 9, 1, 3, 4, 7, 'M'], [5, 2, 'M', 10]]",150.3047091960907
37,493.7666852472502,638.6721038451828,"[10, 1, 3, 6, 4, 7, 9, 8, 5, 2]","[[3, 6, 4, 9, 8, 5, 'M'], [10, 1, 7, 2, 'M'], ['M', 1, 7, 8, 5, 2], [10, 3, 6, 4, 9, 'M']]",151.64681363105774
38,356.3546032437242,596.3977580388037,"[6, 4, 7, 9, 10, 2, 8, 5, 1, 3]","[[4, 9, 8, 1, 3, 'M'], [6, 7, 10, 2, 5, 'M'], [7, 10, 8, 1, 'M'], ['M', 6, 4, 9, 2, 5, 3]]",154.26076531410217
39,369.32065298945,505.34949266243063,"[10, 1, 4, 3, 7, 9, 2, 8, 6, 5]","[[1, 4, 3, 9, 8, 'M'], [10, 'M', 7, 2, 6, 5], ['M', 1, 3, 7, 9, 6, 5], [10, 4, 2, 8, 'M']]",154.99322080612183
40,384.34270247342283,598.7399238665286,"[4, 8, 2, 9, 7, 10, 5, 3, 6, 1]","[[4, 2, 3, 6, 'M'], [8, 9, 7, 10, 5, 1, 'M'], ['M', 8, 2, 7, 10, 5, 1], [4, 9, 3, 6, 'M']]",152.5431365966797
41,434.64758953576643,546.1017090303077,"[8, 2, 6, 3, 5, 1, 10, 7, 9, 4]","[[8, 3, 1, 4, 'M'], [2, 6, 5, 10, 7, 9, 'M'], [6, 3, 5, 1, 9, 'M'], ['M', 8, 2, 10, 7, 4]]",152.67159223556519
42,469.2943143224691,585.7514773824638,"[2, 8, 9, 7, 10, 6, 5, 3, 4, 1]","[[8, 7, 10, 6, 4, 1, 'M'], [2, 9, 'M', 5, 3], [2, 'M', 7, 6, 5, 3, 1], ['M', 8, 9, 10, 4]]",155.69540667533875
43,546.7908842804025,746.1876182671305,"[3, 1, 5, 6, 2, 4, 8, 7, 9, 10]","[[5, 6, 7, 9, 10, 'M'], [3, 1, 2, 4, 8, 'M'], [3, 1, 5, 2, 8, 'M', 10], ['M', 6, 4, 7, 9]]",154.1635456085205
44,539.9460241871561,706.6349613089684,"[4, 6, 3, 1, 8, 9, 5, 2, 10, 7]","[[6, 5, 2, 10, 'M'], [4, 3, 1, 8, 9, 7, 'M'], ['M', 6, 1, 8, 9, 10, 7], [4, 3, 5, 2, 'M']]",155.59026765823364
45,318.22979730919144,501.1131342286342,"[2, 3, 7, 4, 9, 8, 5, 10, 6, 1]","[[3, 4, 9, 5, 10, 1, 'M'], [2, 7, 8, 6, 'M'], [3, 7, 4, 9, 8, 6, 1, 'M'], [2, 5, 10, 'M']]",147.92200469970703
46,473.1510298977904,607.1627770563006,"[2, 3, 6, 10, 9, 1, 8, 4, 5, 7]","[[2, 3, 9, 8, 7, 'M'], [6, 10, 1, 4, 5, 'M'], [3, 9, 1, 4, 5, 'M'], ['M', 2, 6, 10, 8, 7]]",153.57030963897705
47,403.80384133764727,598.759959200056,"[8, 3, 9, 1, 5, 7, 2, 4, 6, 10]","[[3, 1, 7, 4, 10, 'M'], [8, 9, 5, 2, 6, 'M'], ['M', 3, 9, 5, 2, 6, 10], [8, 1, 7, 4, 'M']]",149.71514892578125
48,433.5153870519771,639.0183570211318,"[7, 1, 5, 8, 10, 4, 2, 6, 3, 9]","[[1, 8, 4, 6, 3, 9, 'M'], [7, 5, 10, 2, 'M'], [7, 5, 10, 4, 6, 9, 'M'], [1, 8, 2, 3, 'M']]",152.61151909828186
49,484.048103549927,598.801767189462,"[4, 1, 6, 7, 8, 9, 5, 3, 2, 10]","[[4, 7, 9, 5, 2, 'M'], [1, 6, 8, 'M', 3, 10], [4, 'M', 6, 8, 5, 3, 10], [1, 7, 9, 2, 'M']]",155.84546566009521
