,final objective value,first objective value,final shared job order,final schedule,time,,,Optimality Gap
10,565.3634987,705.6108131,"[3, 16, 11, 17, 6, 20, 4, 8, 7, 10, 1, 12, 5, 9, 14, 18, 15, 2, 13, 19]","[[3, 16, 11, 17, 6, 20, 4, 8, 7, 10, 1, 12, 5, 9, 14, 18, 15, 2, 13, 19, 'M'], [3, 16, 11, 17, 6, 20, 4, 8, 7, 10, 1, 12, 5, 9, 14, 18, 15, 2, 13, 'M', 19], [3, 16, 11, 17, 'M', 6, 20, 4, 8, 7, 10, 1, 12, 5, 9, 14, 18, 15, 2, 13, 19], [3, 16, 11, 17, 'M', 6, 20, 4, 8, 7, 10, 1, 12, 5, 9, 14, 18, 15, 2, 13, 19], [3, 16, 11, 17, 'M', 6, 20, 4, 8, 7, 10, 1, 12, 5, 9, 14, 18, 15, 2, 13, 19]]",158.3749614,,,
11,1374.7216,2333.349511,"[11, 1, 14, 2, 5, 18, 7, 15, 13, 4, 9, 16, 19, 12, 17, 20, 8, 3, 6, 10]","[[11, 1, 14, 2, 5, 18, 7, 15, 13, 4, 9, 16, 19, 12, 17, 20, 8, 'M', 3, 6, 10], ['M', 11, 1, 14, 2, 5, 18, 7, 15, 13, 4, 9, 16, 19, 12, 17, 20, 8, 3, 6, 10], [11, 1, 'M', 14, 2, 5, 18, 7, 15, 13, 4, 9, 16, 19, 12, 17, 20, 8, 3, 6, 10], [11, 1, 14, 'M', 2, 5, 18, 7, 15, 13, 4, 9, 16, 19, 12, 17, 20, 8, 3, 6, 10], [11, 1, 'M', 14, 2, 5, 18, 7, 15, 13, 4, 9, 16, 19, 12, 17, 20, 8, 3, 6, 10]]",287.5039229,,,
12,8490.809154,8490.809154,"[7, 6, 14, 5, 12, 3, 20, 10, 8, 16, 2, 1, 17, 15, 19, 4, 9, 13, 18, 11]","[[7, 6, 14, 5, 12, 'M', 3, 20, 10, 8, 16, 2, 1, 17, 15, 19, 4, 9, 13, 18, 11], [7, 6, 14, 5, 12, 3, 20, 10, 8, 16, 2, 1, 17, 15, 19, 'M', 4, 9, 13, 18, 11], [7, 6, 14, 5, 12, 3, 'M', 20, 10, 8, 16, 2, 1, 17, 15, 19, 4, 9, 13, 18, 11], [7, 6, 14, 5, 12, 3, 20, 10, 8, 16, 2, 1, 17, 15, 19, 4, 9, 13, 18, 11, 'M'], [7, 6, 14, 5, 12, 3, 20, 10, 8, 16, 2, 1, 17, 15, 19, 4, 9, 13, 18, 11, 'M']]",655.8282557,,,
13,2136.938866,2363.916347,"[14, 16, 7, 11, 19, 3, 17, 18, 15, 20, 4, 8, 10, 9, 13, 6, 2, 5, 1, 12]","[[14, 16, 7, 11, 19, 3, 17, 18, 15, 20, 4, 8, 10, 9, 13, 6, 2, 5, 1, 12, 'M'], [14, 16, 7, 11, 'M', 19, 3, 17, 18, 15, 20, 4, 8, 10, 9, 13, 6, 2, 5, 1, 12], ['M', 14, 16, 7, 11, 19, 3, 17, 18, 15, 20, 4, 8, 10, 9, 13, 6, 2, 5, 1, 12], [14, 16, 7, 11, 'M', 19, 3, 17, 18, 15, 20, 4, 8, 10, 9, 13, 6, 2, 5, 1, 12], [14, 16, 7, 11, 19, 3, 17, 18, 'M', 15, 20, 4, 8, 10, 9, 13, 6, 2, 5, 1, 12]]",6357.865004,,,
14,2540.518533,3032.562777,"[1, 9, 11, 16, 10, 5, 7, 14, 2, 12, 19, 13, 6, 15, 3, 18, 20, 17, 4, 8]","[[1, 9, 11, 16, 10, 5, 7, 14, 2, 12, 19, 13, 6, 15, 3, 18, 'M', 20, 17, 4, 8], [1, 9, 11, 16, 10, 5, 7, 14, 2, 12, 19, 13, 6, 15, 3, 18, 20, 17, 4, 'M', 8], ['M', 1, 9, 11, 16, 10, 5, 7, 14, 2, 12, 19, 13, 6, 15, 3, 18, 20, 17, 4, 8], [1, 9, 11, 16, 10, 5, 7, 14, 'M', 2, 12, 19, 13, 6, 15, 3, 18, 20, 17, 4, 8], [1, 9, 'M', 11, 16, 10, 5, 7, 14, 2, 12, 19, 13, 6, 15, 3, 18, 20, 17, 4, 8]]",514.2841191,,,
15,1666.685377,2314.493698,"[5, 17, 12, 7, 16, 19, 20, 2, 3, 1, 8, 13, 9, 6, 4, 18, 14, 11, 10, 15]","[['M', 5, 17, 12, 7, 16, 19, 20, 2, 3, 1, 8, 13, 9, 6, 4, 18, 14, 11, 10, 15], ['M', 5, 17, 12, 7, 16, 19, 20, 2, 3, 1, 8, 13, 9, 6, 4, 18, 14, 11, 10, 15], [5, 17, 12, 7, 16, 19, 20, 2, 3, 1, 8, 13, 9, 6, 4, 18, 14, 11, 10, 15, 'M'], ['M', 5, 17, 12, 7, 16, 19, 20, 2, 3, 1, 8, 13, 9, 6, 4, 18, 14, 11, 10, 15], ['M', 5, 17, 12, 7, 16, 19, 20, 2, 3, 1, 8, 13, 9, 6, 4, 18, 14, 11, 10, 15]]",372.1947925,,,
16,2766.798292,3033.045864,"[11, 4, 17, 3, 8, 13, 18, 14, 2, 10, 16, 19, 9, 15, 5, 20, 6, 7, 12, 1]","[[11, 4, 17, 3, 8, 13, 18, 14, 2, 10, 16, 19, 9, 15, 5, 20, 6, 'M', 7, 12, 1], ['M', 11, 4, 17, 3, 8, 13, 18, 14, 2, 10, 16, 19, 9, 15, 5, 20, 6, 7, 12, 1], ['M', 11, 4, 17, 3, 8, 13, 18, 14, 2, 10, 16, 19, 9, 15, 5, 20, 6, 7, 12, 1], [11, 4, 17, 3, 'M', 8, 13, 18, 14, 2, 10, 16, 19, 9, 15, 5, 20, 6, 7, 12, 1], ['M', 11, 4, 17, 3, 8, 13, 18, 14, 2, 10, 16, 19, 9, 15, 5, 20, 6, 7, 12, 1]]",362.2233043,,,
17,2609.067493,3014.610191,"[19, 15, 9, 14, 7, 8, 2, 10, 5, 16, 1, 17, 12, 13, 6, 3, 20, 11, 18, 4]","[[19, 15, 9, 14, 7, 8, 2, 10, 5, 16, 1, 17, 12, 13, 6, 'M', 3, 20, 11, 18, 4], [19, 15, 9, 14, 7, 8, 2, 10, 5, 16, 1, 17, 12, 13, 6, 3, 20, 11, 18, 4, 'M'], [19, 15, 9, 14, 7, 8, 2, 10, 5, 16, 1, 17, 12, 13, 'M', 6, 3, 20, 11, 18, 4], [19, 15, 9, 14, 'M', 7, 8, 2, 10, 5, 16, 1, 17, 12, 13, 6, 3, 20, 11, 18, 4], [19, 'M', 15, 9, 14, 7, 8, 2, 10, 5, 16, 1, 17, 12, 13, 6, 3, 20, 11, 18, 4]]",355.4934387,,,
18,4932.624305,5538.8902,"[4, 10, 5, 19, 20, 18, 14, 6, 9, 2, 12, 1, 15, 11, 13, 8, 16, 17, 7, 3]","[[4, 10, 5, 19, 20, 18, 14, 6, 'M', 9, 2, 12, 1, 15, 11, 13, 8, 16, 17, 7, 3], [4, 10, 5, 19, 20, 18, 14, 6, 9, 2, 12, 1, 15, 11, 13, 8, 16, 17, 7, 3, 'M'], [4, 'M', 10, 5, 19, 20, 18, 14, 6, 9, 2, 12, 1, 15, 11, 13, 8, 16, 17, 7, 3], [4, 'M', 10, 5, 19, 20, 18, 14, 6, 9, 2, 12, 1, 15, 11, 13, 8, 16, 17, 7, 3], [4, 'M', 10, 5, 19, 20, 18, 14, 6, 9, 2, 12, 1, 15, 11, 13, 8, 16, 17, 7, 3]]",331.368057,,,
19,3827.151772,3924.490214,"[19, 8, 3, 18, 1, 4, 14, 20, 15, 7, 12, 16, 2, 9, 6, 17, 11, 13, 5, 10]","[[19, 8, 3, 18, 1, 4, 14, 20, 15, 7, 12, 16, 2, 9, 6, 17, 11, 13, 5, 10, 'M'], [19, 8, 3, 18, 1, 4, 14, 20, 15, 7, 12, 16, 2, 9, 6, 17, 11, 13, 5, 10, 'M'], [19, 8, 3, 18, 1, 4, 14, 20, 15, 7, 12, 16, 2, 9, 6, 17, 11, 13, 5, 10, 'M'], [19, 8, 3, 18, 1, 'M', 4, 14, 20, 15, 7, 12, 16, 2, 9, 6, 17, 11, 13, 5, 10], [19, 8, 3, 18, 1, 4, 14, 20, 15, 7, 12, 16, 'M', 2, 9, 6, 17, 11, 13, 5, 10]]",405.7160668,,,
