init_prod_time_H
[ 1 13 19  2  0]
[5. 0. 1. 0. 1.]
[3. 0. 2. 0. 0.]
[5. 0. 0. 0. 0.]
[3. 2. 4. 2. 0.]
[6. 0. 0. 0. 0.]
[ 5. 12.  0.  0.  0.]
[2. 6. 6. 2. 5.]
[5. 0. 4. 7. 0.]
[ 4.  0. 19. 19.  0.]
[0. 3. 0. 4. 8.]
[0. 0. 4. 0. 0.]
[0. 5. 0. 3. 0.]
[5. 0. 0. 0. 0.]
[0. 0. 2. 0. 0.]
[7. 5. 3. 1. 0.]
[4. 0. 0. 2. 0.]
[ 5.  6.  0. 17.  0.]
[0. 0. 1. 0. 0.]
[0. 4. 0. 0. 2.]
[ 0.  4.  0. 14.  0.]
[ 0.  4.  0. 13.  0.]
[8. 0. 0. 0. 0.]
[ 0.  0.  2. 18.  0.]
[0. 4. 0. 2. 0.]
[5. 3. 0. 0. 0.]
[0. 0. 3. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 4. 4. 0. 0.]
[5. 0. 0. 0. 0.]
