benchmark
"[ 82  55  46  43  53  96  45  98  41  26  33  92  38  20  94  28  67  83
  50  89  71  97   6  64   5  48  78  10  61  81  23   4  93  79  35  74
  47  51  84   9  16  13  77  22  54  91  31  30  36  12  60   8  18  62
   3  87  76  34  59  57  11  29 100  24  58  52  88  66  75  21  49   1
  17  63  42  19  70  69  85  27  90  37  56   2  65  86   7  40  39  15
  99  14  72  44  73  68  80  25  95  32]"
"[ 36  14   7  33  69  90   6  13  31  55  86  16  32  28  62   4  45  30
 100  46  70  53  96  87  94  95  23  19  63  66   5  71  92  41  38  44
  75  29  91  21  47  97  37  58  64  11  59  84  22  72  42  12  80  61
  34   1  18  39  49  81  51  68  82  20  83  54  10  65  25  93  43  56
  15  40  52  17  78  26   3  74   9  99   2  79  27  24  85  73  35  60
  57  48  77  67  89  76  50   8  98  88]"
"[ 67  10  93  35  36  96   6  11  80  51  71  98  86  58  97  95  26  85
  25  81  90  53  34   9  38 100  74  83   7   3  46  23  77  57  19  49
  14  72  56  32  16  65  48  42  39  78  89  52  44  69  43  40  12   2
  55  18  88  61  17  64  79  24  66  82  62  45  60  59  37  13  41  87
  99  75  92  20  27  33  22  50  63   1  31  47  29  15  91  54  70  30
  21   5  28   4   8  73  84  94  76  68]"
"[ 11 100  50  42  44  92  19  33  61  78  12  25  70  56   4  83  52  59
  79  80  38  45  89   6  23  10  30  51  53  68   7  37  39  43  85  48
  36  84  41  34   3  72  82   5  67  64  65  54  49  26  98  90  14  21
  74  96  20  17  28  35  58  31  40  16   2  69  76  95  99   1  77  22
  63  27  93  24  13  81  32  71   8  55  15  66  57  75   9  94  47  86
  88  97  62  18  87  91  73  29  46  60]"
"[  2  86  52  76  82  33  51  87  95  74  13  43  19  27  89  63  80   4
  17  23  84  44  65  56  83  18  58  61  96  85  12  10  90  16  15  88
   9  81   5  68   8  21  41 100  67  48  93  57  32  69  54  14  26  37
  45  50  64  53  49  35  73  11  99  92  71  91  22  29  79  47  46   3
  25  98  55  28   1  66  97  40  38  42  72   7  75  31  77  59  62  20
  78   6  70  24  94  39  60  36  34  30]"
"[ 71  69  30  83  49  37  57  77  81  80  67  95  25  53  11  21  10   4
  94  86  70  90  34   6  41   1  55  42   8  32  75  44  61  51  27  88
  36  33  29  64  68  48  62  20  74  93  63  45   5  84  28  23 100  40
  89  16  38  98  15   7  17  87  79  19  66   9  92  35   2  99  31  76
  14  54  52  26  39  96  24  73  59  18  65   3  13  46  47  72  22  43
  97  82  91  12  56  60  85  58  78  50]"
