m0,m1,m2,,m1 > m2,m1 < m2,m1 = m2,,gurobi,,GAP,m1,m2
468.6355152,468.6355152,450.9002937,,TRUE,FALSE,FALSE,,322.75,,,0.311298462,0.284209825
303.1335759,303.1335759,325.6105464,,FALSE,TRUE,FALSE,,207.31,,,0.31611007,0.363319148
409.0084409,409.0084409,431.2480278,,FALSE,TRUE,FALSE,,277.4,,,0.321774388,0.356750682
497.7146989,497.7146989,412.8345336,,TRUE,FALSE,FALSE,,220.04,,,0.557899334,0.467001953
490.2822222,490.2822222,395.9860371,,TRUE,FALSE,FALSE,,250.39,,,0.489294148,0.367679725
481.1795534,481.1795534,454.3173648,,TRUE,FALSE,FALSE,,313.81,,,0.347831807,0.309271394
408.6142293,408.6142293,360.0568305,,TRUE,FALSE,FALSE,,203.22,,,0.502660491,0.435589099
462.3530077,462.3530077,418.7287584,,TRUE,FALSE,FALSE,,244.97,,,0.470166743,0.414967338
307.891483,307.891483,349.0369853,,FALSE,TRUE,FALSE,,220.21,,,0.284780476,0.369092649
492.4632932,492.4632932,446.0402506,,TRUE,FALSE,FALSE,,227.26,,,0.538523981,0.490494412
407.1164081,407.1164081,419.2242182,,FALSE,TRUE,FALSE,,269.21,,,0.338739499,0.357837672
403.2327092,403.2327092,430.1946976,,FALSE,TRUE,FALSE,,232.8,,,0.422665883,0.458849676
380.0022565,380.0022565,391.1128544,,FALSE,TRUE,FALSE,,258.3,,,0.320267194,0.339576807
400.9100956,400.9100956,407.4673223,,FALSE,TRUE,FALSE,,230.72,,,0.424509379,0.433770545
386.8996827,386.8996827,335.0239539,,TRUE,FALSE,FALSE,,247.95,,,0.359136202,0.259903666
373.0796209,373.0796209,643.0271784,,FALSE,TRUE,FALSE,,295.57,,,0.207756244,0.540346023
489.4466283,489.4466283,482.607436,,TRUE,FALSE,FALSE,,281.66,,,0.424533782,0.416378657
338.8276605,338.8276605,328.8442687,,TRUE,FALSE,FALSE,,210.67,,,0.378238484,0.359362409
340.9217382,340.9217382,293.1744762,,TRUE,FALSE,FALSE,,205.4,,,0.397515685,0.299393308
353.5445847,353.5445847,505.9777768,,FALSE,TRUE,FALSE,,171.4,,,0.515195516,0.661249944
388.0510132,388.0510132,472.9587761,,FALSE,TRUE,FALSE,,288.5,,,0.256541047,0.390010262
427.4762857,427.4762857,407.5065979,,TRUE,FALSE,FALSE,,304.87,,,0.286814239,0.251864874
504.2503154,504.2503154,517.6447535,,FALSE,TRUE,FALSE,,283.22,,,0.438334511,0.452868018
338.6372438,338.6372438,365.5992711,,FALSE,TRUE,FALSE,,231.47,,,0.316466206,0.366875105
280.2222714,280.2222714,348.8879076,,FALSE,TRUE,FALSE,,161.43,,,0.423921592,0.537301246
415.8860005,415.8860005,436.2170745,,FALSE,TRUE,FALSE,,290.68,,,0.301058464,0.333634521
372.6864626,372.6864626,436.8703588,,FALSE,TRUE,FALSE,,188.75,,,0.493542109,0.56794963
406.4740571,406.4740571,408.9292081,,FALSE,TRUE,FALSE,,284.24,,,0.300717979,0.304916366
373.7016613,373.7016613,428.7470659,,FALSE,TRUE,FALSE,,237.94,,,0.363288889,0.445034103
,,,,,,0,,,,,,
,,,,,,,,,,,,
,,,,method 2 比較好,method 1 比較好,,,,,Average Gap,m1,m2
,,,,21,29,,,,,,0.383962074,0.392926127
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
