benchmark
42458.20782582372
33890.5350077787
28286.016780916114
86562.66139597628
47791.05385255347
54730.39792498226
29832.816435803186
54525.188832976375
15221.086346385846
111116.55753572287
61445.47433504453
51528.206853389725
42685.99336950654
24783.607684222046
32040.378770497176
40826.50080391471
25536.334884864533
56458.77391849259
21350.759062975685
89876.71881449626
40995.12466512667
57461.46317776797
57406.07360510731
54036.40080081377
25326.192349096542
59129.83752894528
59660.221200342035
80265.11705177471
36188.44658160256
36898.95294661314
